year,answer,question
1984,His inaugural bash became a brawl when his backwoods pals vandalized the White House,Andrew Jackson
1987,"In both ""The President's Lady"" & ""The Buccaneer"", Charlton Heston played this hero of the War of 1812",Andrew Jackson
1987,"In a famous duel, he killed a man who insulted his wife Rachel",Andrew Jackson
1987,He was once accused of adultery & later was 1st president to escape an assassin's bullet,Andrew Jackson
1988,"1st president born in a log cabin, he was also 1st born outside of Virginia or Massachusetts",Andrew Jackson
1988,"On ""Simon & Simon"", A.J. was named for this president",Andrew Jackson
1988,The Hermitage,Andrew Jackson
1988,"Tennessee's 1st congressman, he later became president",Andrew Jackson
1989,He escaped his own 1829 inaugural festivities when guests destroyed furniture & smashed crystal,Andrew Jackson
1989,He married the same woman twice: in 1791 & again in 1794,Andrew Jackson
1989,"In 1832 he said, ""The bank, Mr. Van Buren, is trying to kill me, but I will kill it\""",Andrew Jackson
1990,"\""Old Hickory\""",Andrew Jackson
1990,"\""Hero of New Orleans\""",Andrew Jackson
1990,"Between terms as a U.S. Senator from Tennessee, he fought in the War of 1812 & against Florida's Seminole Indians",Andrew Jackson
1992,"While a general in the army, he helped found the city of Memphis, Tennessee",Andrew Jackson
1992,In 1821 he became Florida's provisional governor; 8 years later he became president,Andrew Jackson
1992,The exterior of the governor's mansion in Florida is modeled after the home of this president,Andrew Jackson
1993,"In 1829 he abandoned regular cabinet meetings in favor of discussions with his ""Kitchen Cabinet\""",Andrew Jackson
1993,"In March 1814 this general defeated the Creeks at Horseshoe Bend, in what is now Alabama",Andrew Jackson
1994,"This president was known as the ""Hero of New Orleans"" & ""King Andrew the First\""",Andrew Jackson
1994,"This president's nephew & the editor of the Washington Globe were part of his ""Kitchen Cabinet\""",Andrew Jackson
1994,"Although he won the popular & electoral votes in 1824, the House chose John Quincy Adams as president",Andrew Jackson
1995,In 1835 he became the first & only president to pay off the national debt,Andrew Jackson
1996,In 1818 this general ordered 2 traders arrested & executed for inciting the Seminole Indians,Andrew Jackson
1996,Horseshoe Bend National Military Park in Alabama is the site where he defeated the Creek Indians in 1814,Andrew Jackson
1996,In 1796 this future U.S. president helped draft Tennessee's new constitution,Andrew Jackson
1996,"This president's enemies called him ""King Andrew I"", but he's better-known as ""Old Hickory\""",Andrew Jackson
1996,Visitors can go rollin' on the river aboard a showboat named for this general & 7th president,Andrew Jackson
1997,"Martin was not only this 7th president's veep, he was his most trusted advisor",Andrew Jackson
1997,Clark Mills' statue of this U.S. president stands in the heart of New Orleans' French Quarter,Andrew Jackson
1997,"Men who slandered his wife Rachel found out quickly why he was called the ""Duel Fighter\""",Andrew Jackson
1997,"This president was nicknamed the ""Sage of the Hermitage\""",Andrew Jackson
1998,He commanded members of 3 state militias & some pirates to victory at the Battle of New Orleans,Andrew Jackson
1998,He claimed the smear & slander tactics of the 1828 election drove his wife Rachel to her grave,Andrew Jackson
1998,"After leaving office in 1837, he retired to the Hermitage, his Tennessee plantation",Andrew Jackson
1998,"Charlton Heston played this president in 2 films: ""The Buccaneer"" & ""The President's Lady\""",Andrew Jackson
1998,SWANK JEAN CORD,Andrew Jackson
1999,From 1798 to 1804 this seventh president served as a judge on Tennessee's Superior Court,Andrew Jackson
