year,answer,question
2005,"Illinois made this self-described ""skinny kid with a funny name"" the fifth black senator ever elected",Barack Obama
2006,"Now an Illinois senator, he gave the keynote address at the 2004 Democratic National Convention",Barack Obama
2007,"In ""Dreams from My Father"" this senator told ""a story of race and inheritance\""",Barack Obama
2007,This senator was the first African-American president of the Harvard Law Review,Barack Obama
2008,He's the only African American currently serving in the U.S. Senate,Barack Obama
2009,He's the only president since 1900 whose last name contains more vowels than consonants,Barack Obama
2009,"Before Columbia & Harvard, he attended Honolulu's Punahou School & L.A.'s Occidental College",Barack Obama
2010,"On August 4 he was born in Honolulu, & he has the papers to prove it",Barack Obama
2010,"North Carolina, 2008",Barack Obama
2010,"\""Yes we can\""",Barack Obama
2010,"In his inaugural address, he mentioned that ""44 Americans have now taken the Presidential Oath\""",Barack Obama
2011,"Born in Honolulu August 4, 1961, he was given the same Swahili name as his father; it means ""blessed by God\""",Barack Obama
2011,The one who married a Michelle,Barack Obama
2011,Secretary of Health & Human Services Kathleen Sebelius,Barack Obama
2011,"\""Dreams From My Father\""",Barack Obama
2011,Michelle LaVaughn Robinson,Barack Obama
2011,"\""If there's one thing that has unified Democrats and Republicans, it's that we all hated the bank bailout\""",Barack Obama
2012,Timothy Geithner,Barack Obama
2013,"Oregon State basketball coach Craig Robinson, an MBA from the U. of Chicago, has this very famous brother-in-law",Barack Obama
2013,Kapi'olani Maternity & Gynecological Hospital,Barack Obama
2014,"Democrats, 2004: This Illinois senatorial candidate",Barack Obama
2014,He graduated from the Punahou Prep School in 1979 before moving on to Occidental & Columbia,Barack Obama
2015,Hussein,Barack Obama
2015,"In this man's memoir ""Dreams from My Father"", he recounts a visit to Kenya, his father's birthplace",Barack Obama
2016,The most recent left-handed president,Barack Obama
2016,Nelson Mandela,Barack Obama
2017,"Of the 8 presidents born west of the Mississippi River, the one born farthest west",Barack Obama
2018,"102 million:  His Twitter bio is just 4 words--""Dad, husband, president, citizen\""",Barack Obama
2019,"He resigned as Illinois senator November 16, 2008 to take higher office",Barack Obama
2019,His middle name is Hussein,Barack Obama
