year,answer,question
1988,"As a brigadier general in the Civil War, he was called ""Little Ben"" because he was only 5'6\""",Benjamin Harrison
1990,"He won the presidency with help from a song called ""Grandfather's Hat Fits Ben\""",Benjamin Harrison
1994,"\""Little Ben\""",Benjamin Harrison
1996,"The ""Son of his Grandfather\""",Benjamin Harrison
1997,"He was born August 20, 1833 & named for his great-grand-father, not his grandfather who was president",Benjamin Harrison
1997,"Although he lost the popular vote to Cleveland in 1888, he won in the electoral college, 233 votes to 168",Benjamin Harrison
1998,"Preceded & succeeded by the mustached Grover Cleveland, he had a full beard & mustache",Benjamin Harrison
1998,This grandson of the ninth president commanded troops in the Army of the Cumberland,Benjamin Harrison
1999,"The ""Son of the Grandfather\""",Benjamin Harrison
1999,"\""Little Ben\""",Benjamin Harrison
2000,"In 1888 he won the presidency using the campaign song ""Grandfather's Hat Fits Ben\""",Benjamin Harrison
2000,"This president was born at the home of his paternal grandfather, who also served as president",Benjamin Harrison
2002,"The son & same-named great-grandson of this man, ""the Falstaff of Congress"", were both U.S. presidents",Benjamin Harrison
2002,"Born in 1833, his first name means ""Son of the Right Hand""; his last, ""Son of Harry\""",Benjamin Harrison
2002,"This man presided over the debate leading to the Declaration; his namesake great-grandson was president, 1889-93",Benjamin Harrison
2003,"\""Little Ben\""",Benjamin Harrison
2003,"While in office, he admitted 6 states, more than any other U.S. president",Benjamin Harrison
2004,W is the first candidate since this man in 1888 to win the electoral vote & presidency while losing the popular vote,Benjamin Harrison
2005,Levi Morton was soiled by the Peruvian guano scandal before taking office in 1889 for this president,Benjamin Harrison
2005,"He became pres. 100 years after George Washington, so he was called the ""Centennial President\""",Benjamin Harrison
2005,For aural thrills go to the Vincent Voice Library at Michigan State & hear a recording of this 23rd U.S. president,Benjamin Harrison
2005,"Known as a great orator, this president sang the praises for the Sherman Antitrust Act he signed into law",Benjamin Harrison
2006,After moving to Indianapolis in 1854 this future pres. became a deacon & elder at the First Presbyterian Church,Benjamin Harrison
2006,"His great-grandfather, Benjamin, signed the Declaration of Independence",Benjamin Harrison
2007,"\""Grandpa's Grandson\""",Benjamin Harrison
2009,"When electric lights were installed in 1891, this pres., afraid of being shocked, wouldn't operate the switches",Benjamin Harrison
2011,His grandpa was the ninth U.S. president; he was No. 23,Benjamin Harrison
2012,"1888: ""Grandfather's hat fits Ben\""",Benjamin Harrison
2013,He was preceded & succeeded as president by the same man,Benjamin Harrison
2015,Crown Hill Cemetery is the final resting place of John Dillinger & this 23rd president,Benjamin Harrison
2015,The earliest presidential voice recording in the Vincent Voice Library at Mich. State is from this 23rd pres. in 1889,Benjamin Harrison
2015,was the grandson of the 9th president,Benjamin Harrison
2016,He defeated Grover Cleveland in 1888 but lost the rematch 4 years later,Benjamin Harrison
2017,"On June 6, 1892 he became the first president to attend a major league baseball game while in office",Benjamin Harrison
2019,"The grandson of our 9th president, he was our 23rd president",Benjamin Harrison
