year,answer,question
1988,Among the White House renovations he made was cleaning out Garfield's cabinet,Chester A. Arthur
1989,"He was known as the ""Dude"" president, ""America's First Gentleman"" and ""Our Chet\""",Chester A. Arthur
1996,"This successor of Garfield was called ""The Gentleman Boss\""",Chester A. Arthur
1996,The vice presidency under James A. Garfield was his first elective office,Chester A. Arthur
1997,He was the last of 3 men to serve as president in 1881,Chester A. Arthur
1998,CAA,Chester A. Arthur
1998,Alan,Chester A. Arthur
1999,"\""The Adventures of Huckleberry Finn"" was published during his term in office",Chester A. Arthur
1999,"\""Arthur the Gentleman\""",Chester A. Arthur
1999,"On September 20, 1881 he became the 4th VP to succeed to the presidency upon the death of the incumbent",Chester A. Arthur
2002,Alan,Chester A. Arthur
2002,"\""Elegant Arthur\""",Chester A. Arthur
2003,"\""Our Chet\""",Chester A. Arthur
2005,"Mary McElroy, this widower's sister, acted as official White House hostess; he didn't keep Mrs. Garfield on",Chester A. Arthur
2007,"On Sept. 20, 1881 he took the oath of office in his NYC home at 2:15 A.M.",Chester A. Arthur
2009,"You have to go back over a century to find him, the last president who never had a vice president",Chester A. Arthur
2009,He followed Garfield as president,Chester A. Arthur
2012,"This man who succeeded a slain president was a quartermaster for the Union & an alum of, duh, Union College",Chester A. Arthur
2018,"As N.Y.'s customs collector, this future president was the highest-paid public employee in the U.S.--nice, Chet!",Chester A. Arthur
2018,"The ""A."" was for Alan",Chester A. Arthur
