year,answer,question
1985,"At various times, he & all 5 of his brothers were nicknamed ""Ike\""",Dwight D. Eisenhower
1987,"\""I shall go to Korea\""",Dwight D. Eisenhower
1987,General whose Presidential campaign song was written by Irving Berlin,Dwight D. Eisenhower
1988,"Later his 1st att'y general, Herbert Brownell Jr. urged him to select Nixon as a running mate",Dwight D. Eisenhower
1988,"The only pres. to hold a pilot's license, this military man got it in 1937, 16 years before becoming pres.",Dwight D. Eisenhower
1988,"\""I've always loved my wife, my children and grandchildren, and I've always loved my country,"" he said in 1969",Dwight D. Eisenhower
1989,"In 1913, this future president, then a West Point cadet, marched in Wilson's parade",Dwight D. Eisenhower
1989,"Shortly after being elected, he submitted his resignation as president of Columbia University",Dwight D. Eisenhower
1989,"An amateur golf trophy, 1st awarded in 1958, is named for this president",Dwight D. Eisenhower
1990,The presidential retreat in Maryland's Catoctin Mountains is named after his grandson,Dwight D. Eisenhower
1991,"After the presidency, he set up an office at Gettysburg College, where he put together his memoirs",Dwight D. Eisenhower
1995,"Constitution Week, September 17-23, was proclaimed on August 29, 1956 by this president",Dwight D. Eisenhower
1996,"On Jan. 9, 1959 this U.S. president told Congress, ""America is best described by one word. Freedom\""",Dwight D. Eisenhower
1996,"In December 1952, this president-elect visited the front lines during the Korean War",Dwight D. Eisenhower
1997,"This Denison, Texas  native had never held elective office before he was U.S. president",Dwight D. Eisenhower
1997,In the 1950s a putting green was installed for him near the Rose Garden,Dwight D. Eisenhower
1997,This future president graduated from Abilene High School in 1909,Dwight D. Eisenhower
1997,"This president's 1961 farewell address warned of the influence of ""The Military-Industrial Complex\""",Dwight D. Eisenhower
1997,During WWII this future president was supreme commander of the Allies in Europe,Dwight D. Eisenhower
1997,"He was the first president to preside over 49 states, as well as 50",Dwight D. Eisenhower
1998,"He was supreme commander of Allied forces in Europe, & later of NATO forces",Dwight D. Eisenhower
1998,In 1923 he was an obscure major stationed in Panama; 30 years later he was U.S. president,Dwight D. Eisenhower
1998,"In 1971, just 2 years after his death, he was honored on a U.S. coin",Dwight D. Eisenhower
1998,Mamie,Dwight D. Eisenhower
1998,"January 20, 1953 - January 2, 1961",Dwight D. Eisenhower
1999,Lee Remick played Kay Summersby in the '70s miniseries about this president's war years,Dwight D. Eisenhower
1999,"\""Crusade in Europe\""",Dwight D. Eisenhower
1999,He graduated from West Point in 1915 as a second lieutenant; in 1945 he was chief of staff of the U.S. Army,Dwight D. Eisenhower
1999,"1969: ""I have always loved my country\""",Dwight D. Eisenhower
2000,"This president's 2-story birthplace in Denison, Texas is now a state historical park",Dwight D. Eisenhower
2000,"In November 1943, Roosevelt, Churchill & Stalin met in Tehran, where they agreed on him as supreme Allied commander",Dwight D. Eisenhower
2000,John Foster Dulles,Dwight D. Eisenhower
2000,"He sent U.S. soldiers into Little Rock, Ark. to enforce a court order mandating school desegregation",Dwight D. Eisenhower
2000,"This president declared that ""Any invasion of Formosa would have to run over the 7th Fleet\""",Dwight D. Eisenhower
2000,His 1956 victory was the first time in over a century that the party of the presidential winner didn't control Congress,Dwight D. Eisenhower
2001,"As a child, he was known as ""Little Ike""; he later dropped the ""Little\""",Dwight D. Eisenhower
2001,"First awarded in 1958, an amateur golf trophy is named for this U.S. president",Dwight D. Eisenhower
2001,He met wife Mamie Doud in 1915 at Fort Sam Houston when they were introduced by the wife of a fellow officer,Dwight D. Eisenhower
2001,Richard Nixon,Dwight D. Eisenhower
2001,Near this president's library & museum in Abilene you'll also find his grave & boyhood home,Dwight D. Eisenhower
2001,"In the 1950s, if your button said, ""I Like Ike"", he was your man",Dwight D. Eisenhower
2001,In June 1947 this general accepted Columbia University's offer to become its president,Dwight D. Eisenhower
2001,"An avid golfer, he scored a hole-in-one during a round in Palm Springs in 1968",Dwight D. Eisenhower
2002,David,Dwight D. Eisenhower
2003,This man was president when the Warsaw Pact was signed,Dwight D. Eisenhower
2003,"His grandfather had been VP, but Adlai Stevenson lost 2 presidential elections to this man",Dwight D. Eisenhower
2003,He was Time's Man of the Year twice: in 1944 when he was a general & later when he was president,Dwight D. Eisenhower
2003,"Before he was president of the United States, he was supreme allied commander of NATO forces",Dwight D. Eisenhower
2003,The interstate highway system is officially named for this President who signed the bill creating it,Dwight D. Eisenhower
2004,His farewell address warned of the scientific-technological elite & the military-industrial complex,Dwight D. Eisenhower
2007,"In his first term, this president held the first press conference that would be shown on TV--later that day",Dwight D. Eisenhower
2015,"The beginning of the Interstate Highway System was one of the stories told in his ""At Ease: Stories I Tell to Friends\""",Dwight D. Eisenhower
