year,answer,question
1984,"President elected to 2nd term with 523 electoral votes, the greatest number in any election",Franklin D. Roosevelt
1986,"When radio was our media hearth, his Fireside Chats comforted a troubled nation",Franklin D. Roosevelt
1986,"Though famous for his Fireside Chats, he was actually very afraid of fire",Franklin D. Roosevelt
1987,Cars equipped with special manual controls enabled this president to drive,Franklin D. Roosevelt
1988,"On July 2, 1932, he pledged ""A new deal for the American public\""",Franklin D. Roosevelt
1988,"Harry L. Hopkins of Sioux City, Iowa, headed the WPA for this president",Franklin D. Roosevelt
1989,"\""Never before have we had so little time in which to do so much,"" he said in a 1942 radio speech",Franklin D. Roosevelt
1989,Withholding taxes from one's paycheck began in this president's administration,Franklin D. Roosevelt
1989,The last president who did not serve in the armed forces,Franklin D. Roosevelt
1992,In 1946 his portrait was first placed on the U.S. dime,Franklin D. Roosevelt
1993,"H.L. Mencken nicknamed him ""Roosevelt minor\""",Franklin D. Roosevelt
1994,He broke the tradition of serving only 2 terms as president & in 1945 was sworn in for a 4th,Franklin D. Roosevelt
1995,"At his inaugural on March 4, 1933, he said, ""Our greatest primary task is to put people to work\""",Franklin D. Roosevelt
1995,"Rexford G. Tugwell was part of this president's ""Brain Trust\""",Franklin D. Roosevelt
1996,In 1944 Helen Keller campaigned for this president's fourth term,Franklin D. Roosevelt
1996,On February 15 this president-elect survived an assassination attempt by Giuseppe Zangara,Franklin D. Roosevelt
1996,"Grover Cleveland reportedly told this future president, ""Franklin, I hope you never become president\""",Franklin D. Roosevelt
1996,An 800'-long memorial to this 20th c. president in Washington is scheduled for completion in Spring 1997,Franklin D. Roosevelt
1996,"In 1934 this president published a book, ""On Our Way"", reviewing the progress made by his New Deal",Franklin D. Roosevelt
1997,"He discussed the Four Freedoms in his State of the Union Address January 6, 1941",Franklin D. Roosevelt
1997,"He narrowly won the New York governorship in 1928, but won the presidency by a large margin 4 years later",Franklin D. Roosevelt
1997,"As the 1932 Democratic candidate for president, he promised to end prohibition",Franklin D. Roosevelt
1997,"His 1934 trip to Cartagena, Colombia was the first by a sitting U.S. president to South America",Franklin D. Roosevelt
1997,"The first presidential airplane, nicknamed The Sacred Cow, was delivered to him in 1944",Franklin D. Roosevelt
1997,"As a character in ""Annie"", this president sings ""A New Deal for Christmas"" with Daddy Warbucks",Franklin D. Roosevelt
1997,"He was preparing for the U.N. conference in San Francisco when he died in Warm Springs, Ga. on April 12",Franklin D. Roosevelt
1998,"\""We must be the great arsenal of democracy\""",Franklin D. Roosevelt
1998,"He pushed for a New Deal in 1932 & appealed to the ""forgotten man at the bottom of the economic pyramid\""",Franklin D. Roosevelt
1998,"In his fourth inaugural address, he told us, ""Today we work and fight for total victory in war\""",Franklin D. Roosevelt
1998,Thoreau & Francis Bacon said they feared fear itself long before this man said it in 1933,Franklin D. Roosevelt
1998,"The White House's Diplomatic Reception Room was the site of his famous ""Fireside Chats\""",Franklin D. Roosevelt
