year,answer,question
1984,V.P. who also served as ambassador to U.N. & director of the C.I.A.,George H. W. Bush
1984,"In the '80 campaign, he coined the term ""voodoo economics\""",George H. W. Bush
1988,Tennis pro Pam Shriver was a volunteer for this G.O.P. presidential nominee in 1988,George H. W. Bush
1988,He's the only former CIA director to go on to hold a national elected office,George H. W. Bush
1989,Read his lips; he's the 41st president of the United States,George H. W. Bush
1989,In 1989 a group of investors that included this president's son bought the Texas Rangers baseball team,George H. W. Bush
1990,"As president of the Senate, on Jan. 4, 1989 he announced to Congress that George Bush won the election",George H. W. Bush
1992,President Ford appointed this future president director of the CIA in 1975,George H. W. Bush
1993,"Elected to the House of Representatives in 1966, he was the first Republican to represent Houston",George H. W. Bush
1995,In July 1995 the RCMP & the Secret Service had to rescue this former U.S. president from a Canadian peat bog,George H. W. Bush
1996,Japan donated $1.5 million to the building of his presidential library at Texas A&M,George H. W. Bush
1997,"He was the last vice president to act as president of the Senate over 4 congresses:  97, 98, 99 & 100",George H. W. Bush
1997,"During the 1988 primary campaign, he quipped, ""What's wrong with being a boring kind of guy?\""",George H. W. Bush
1998,"On his way to defeat in the heated 1992 campaign, this man called Al ""Mr. Ozone"" & a ""Bozo\""",George H. W. Bush
2001,In 1989 this president dispatched troops to help clean up the Exxon Valdez oil spill,George H. W. Bush
2002,Lawrence Eagleburger became this President's Secretary of State in 1992,George H. W. Bush
2002,"In 1985, during President Reagan's cancer surgery, he officially served as acting president for about 8 hours",George H. W. Bush
2004,...Sandra Day O'Connor became the first female on the U.S. Supreme Court,George H. W. Bush
2004,Clarence Thomas,George H. W. Bush
2005,In 1989 this president vetoed a bill that would raise the minimum wage,George H. W. Bush
2006,Houston's intercontinental airport bears the name of this man who once called the city home,George H. W. Bush
2013,"\""Read my lips, no new taxes!\""",George H. W. Bush
