year,answer,question
1999,He's the current governor of the state seen here (Texas),George W. Bush
2001,"Born in New Haven, Connecticut in 1946, he grew up to be president of the United States",George W. Bush
2002,"He thanked Al Gore ""for a contest conducted with spirit and ended with grace\""",George W. Bush
2003,John Ashcroft,George W. Bush
2004,"A president: ""Fortunate Son\""",George W. Bush
2004,"His 1978 run for congress was a bust; his first public service would have to wait until 1994, as Texas' governor",George W. Bush
2005,"Educated at Phillips Academy, Yale & Harvard, this part-time Crawford resident was born in Connecticut in 1946",George W. Bush
2006,"\""I want to thank the Canadian people who came out to wave, with all five fingers, for their hospitality\""",George W. Bush
2006,"\""Brownie, you're doing a heck of a job\""",George W. Bush
2006,"By law, this ex-Texas governor can never be elected U.S. president again",George W. Bush
2007,"Two bits, four bits, six bits, a dollar.  If you know this Phillips Academy cheerleader, stand up and holler!",George W. Bush
2008,"George III (wait, didn't we kick him out, like, 200 years ago?)",George W. Bush
2008,"He co-wrote ""A Charge to Keep: My Journey to the White House\""",George W. Bush
2008,Ann Richards lost her job as governor to this part-owner of the Texas Rangers,George W. Bush
2008,"On Jan. 20, 2009 this man will lose his $400,000-a-year (plus 50 grand in expenses) federal government job",George W. Bush
2008,"\""Texas tea"" man, enjoy's his dad's office, seems to have a problem saying ""nuclear"" (nuke-u-lar just isn't right, kids)",George W. Bush
2008,"After spending 4 days at the Beijing Olympics, he said the ""highlight was getting my picture taken with the teams\""",George W. Bush
2009,In 1978 he made an unsuccessful run for a Texas congressional seat,George W. Bush
2009,His longhorn cow Ofelia never made it to the White House; she remained behind in Crawford,George W. Bush
2010,"Florida, 2000",George W. Bush
2010,"Excluding honorary degrees, he's the only president to have degrees from both Harvard & Yale",George W. Bush
2011,"This president was born in 1946 in New Haven, Connecticut while his dad was a student at Yale",George W. Bush
2011,The 21st century doctrine named for this man allows the U.S. to wage preventive war if an attack on us is coming,George W. Bush
2011,"\""I know Congress had to... invite me & it could've been a close vote.  So, Mr. VP, I appreciate you being here to break the tie\""",George W. Bush
2011,"He explained his ""Decision Points"" in the 2010 book of that name",George W. Bush
2012,Henry Paulson,George W. Bush
2012,"The first U.S. president with an MBA, he received his from Harvard Business School in 1975",George W. Bush
2014,"In the one-man show ""You're Welcome America"", Will Ferrell spoofed this president",George W. Bush
2015,"Gale Norton, John Snow, Alberto Gonzales",George W. Bush
2016,"\""Republicans & Democrats worked together to achieve historic education reform so that no child is left behind\""",George W. Bush
2016,"2004: ""For reshaping the rules of politics to fit his ten-gallon style\""",George W. Bush
