year,answer,question
1984,1st president to refuse a 3rd term,George Washington
1985,"For the presidential portraits, Gilbert Stuart stuffed his sunken cheeks with cotton",George Washington
1985,"General Howe faced him in Brandywine, Germantown, & Long Island battles",George Washington
1985,This president appointed more Supreme Court justices than any other,George Washington
1985,President who wore size 13 shoes & probably never told a lie about it,George Washington
1986,"He told Newport, R.I. Jews, U.S. govt. ""Gives to bigotry no sanction, to persecution no assistance\""",George Washington
1986,The only 2 individuals to run for president unopposed were James Monroe & this man,George Washington
1986,"A confirmed hypochondriac, he was in constant pain because of false teeth",George Washington
1987,"1st president who did not go to college, & that's no lie",George Washington
1987,John Quincy Adams named his 1st-born after this man famous for being a 1st,George Washington
1987,"Caswell-Massey still sells ""#6"", the favorite cologne of this #1 president",George Washington
1987,"\""It is our true policy to steer clear of permanent alliance w/any portion of the foreign world\""",George Washington
1988,"In New York City on April 29, 1889, his Wall Street inauguration was re-enacted",George Washington
1988,"He's known as the ""Surveyor President\""",George Washington
1988,18th c. planter Eliza Pinckney was such a patriot that this pres. asked to be a pallbearer at her funeral,George Washington
1988,The World Book's article on dentistry features a photo of this man's dentures,George Washington
1988,The only president who died in the eighteenth century,George Washington
1989,Only president inaugurated on April 30; this year marked the 200th anniversary of that event,George Washington
1989,In May 1787 this Virginian was chosen president of the Constitutional Convention unanimously,George Washington
1989,He was the only president inaugurated in two different cities,George Washington
1989,A replica of Houdon's famous statue of this American president stands outside the National Gallery,George Washington
1989,"In his inaugural address in 1862, Jefferson Davis noted the fact that it was this president's birthday",George Washington
1989,The District of Columbia's flag was inspired by his coat of arms,George Washington
1989,He was the losing general in the Battles of Long Island & White Plains,George Washington
1989,The only president who fought in the French & Indian War,George Washington
1990,He was our country's 1st blue-eyed president,George Washington
1990,"The last words of this first president to die were, ""It is well I die hard, but I am not afraid to go.\""",George Washington
1990,"On August 4, 1753 Lodge No. 4 in Fredericksburg, Virginia initiated him into the Masons",George Washington
1990,"\""Surveyor President\""",George Washington
1990,"He was the first president to have an ""Old"" nickname; in this case, ""Old Fox\""",George Washington
1991,"One of Eleanor's ancestors, R.R. Livingston, administered the oath of office to this president in 1789",George Washington
1992,"Some senators wanted to call him ""His Elective Majesty"", but settled for ""Mr. President\""",George Washington
1992,The final draft of his farewell address was written by Alexander Hamilton,George Washington
1993,John Parke Custis was the only one of his 4 stepchildren who lived to adulthood; he died at age 27,George Washington
1993,This president laid the cornerstone of the U.S. Capitol in 1793,George Washington
1993,This Virginian was president of the Constitutional Convention,George Washington
1993,"He was first called ""The Father of His Country"" in a 1779 almanac published in Pennsylvania",George Washington
1994,"The ""Sage of Mount Vernon\""",George Washington
1994,The District of Columbia's flag is the banner of the arms of his ancestral family in England,George Washington
1995,"On July 4, 1798 he became the only former president named commander-in-chief of American forces",George Washington
1995,"Soon after his father's death in 1743, he went to live with half-brother Lawrence at Mount Vernon",George Washington
1996,The District of Columbia's flag is based on this man's coat-of-arms,George Washington
1996,"The Conway Cabal, a New England congressional group, plotted to oust this man as commander-in-chief",George Washington
1996,He's the only U.S. president inaugurated in New York City,George Washington
1996,"In 1755, at age 23, he was appointed Commander-In-Chief of all the Virginia forces",George Washington
1996,This university named for a president is located 4 blocks from the White House,George Washington
1996,"On January 6, 1759, he married Martha Dandridge Custis",George Washington
1996,This D.C. school named for a president was founded by a group that included a pres.-- James Monroe,George Washington
1997,He's the first president who wasn't a signer of the Declaration of Independence,George Washington
1997,"We cannot tell a lie:  this president made the shortest inaugural speech, only 90 seconds",George Washington
1997,"Though this president chose the general site for the executive mansion, he never lived there",George Washington
1997,His half-brother Lawrence served in the British navy under Admiral Edward Vernon,George Washington
1997,"On June 15, 1775 he was unanimously elected Commander in Chief of the Continental Army",George Washington
1997,"In 1790 this president wrote a letter on religious toleration to the Jews of Newport, Rhode Island",George Washington
1997,"In 1749 he was appointed surveyor of Culpeper County, Virginia",George Washington
1997,"It's an easy guess; he's on the lowest denomination, the $50",George Washington
1997,He was the first president to serve 2 terms in office,George Washington
1997,Col. Lewis Nicola led a movement to make this man king of America,George Washington
1998,The first issue cost 6 pence & was published during this U.S. president's first term,George Washington
1998,Much of this man's 1796 farewell address was Alexander Hamilton's work,George Washington
1998,This lieutenant colonel led the British forces in the battle that began the French & Indian War,George Washington
1998,Fort Necessity was built by this future general & was the site of his only surrender,George Washington
1998,"During his first term as president, the Bill of Rights became law",George Washington
1998,He was the first U.S. president who was not a college graduate,George Washington
1998,"Serving from 1789 to 1797, he wanted the U.S. presidency to be nonpartisan",George Washington
1998,"On Sept. 17, 1796 he issued his farewell address",George Washington
1998,"Gilbert Stuart's unfinished ""Athenaeum Head"" portrait of this man appears on the $1 bill",George Washington
1999,The home this president bought for his mother Mary is a tourist attraction in Fredericksburg,George Washington
1999,"William Rush's statue of this man in Independence Hall is made of wood, teeth & all",George Washington
1999,Thomas Conway was involved in a 1777 plot to replace this American commander-in-chief with Horatio Gates,George Washington
1999,This president adopted John Parke Custis & Martha Parke Custis,George Washington
1999,"This Virginian, beloved in peace & war, is featured on the Great Seal of the Confederacy",George Washington
1999,"This general announced the end of the Revolutionary War & disbanded the army in Newburgh, New York",George Washington
1999,"\""The Surveyor President\""",George Washington
1999,"1799: ""It is well\""",George Washington
1999,"On Dec. 1, 1776 this commander in chief found himself leading an army of only about 3,000 men",George Washington
1999,"\""The Atlas of America\""",George Washington
1999,"Among this president's last words on December 14, 1799 were ""I die hard, but I am not afraid to go\""",George Washington
1999,A traveling exhibit honoring the 200th anniversary of his death features his false teeth,George Washington
1999,He was the first president to preside over 14 states,George Washington
1999,Person for whom the Evergreen State was named,George Washington
1999,"In 1753, concerned over French fort-building in the Ohio Valley, Virginia sent this 21-year-old to check things out",George Washington
1999,"According to the legend, Robert Morris, George Ross & this man asked Betsy to make the first Stars & Stripes",George Washington
2000,The student newspaper of this D.C. university is the GW Hatchet,George Washington
2000,"On December 18, 1799, hundreds of people accompanied his coffin to its grave site",George Washington
2000,"Georgetown, Ohio was named for Georgetown, Kentucky which was named for this man",George Washington
2000,In 1896 Woodrow Wilson published a book on this man who was president in 1796,George Washington
2000,"U.S. quarter, dollar bill, only 1 state flag",George Washington
2000,There's a pyramid on the back of his greenback,George Washington
2000,"Though without military experience, Hancock expected the commander-in-chief job that went to this man",George Washington
2000,"Portraitist Gilbert Stuart produced over 1,100 paintings, 104 of which were likenesses of this man",George Washington
2000,He crossed from heads to tails to appear on the reverse of the 1999 New Jersey quarter,George Washington
2000,His wife had a pet parrot which he hated; perhaps it perched in his cherry tree,George Washington
2000,"The site for the White House was chosen by James Hoban, Charles L' Enfant & this man",George Washington
2001,"In 1799 Col. Henry Lee eulogized this President as ""First in war, first in peace & first in the hearts of his countrymen\""",George Washington
2001,Martha Custis (1759-1799),George Washington
2001,"Begun in 1815, America's first large-scale monument to this man towers above Mount Vernon Place",George Washington
2001,1732-1799,George Washington
2001,Federalist Party 1789-1797,George Washington
2001,"Tonight, the wooden teeth--fact or fiction? Also, his 1754 Fort Necessity battle loss...Mt. Vernon, hello",George Washington
2001,He was the only U.S. president to die in the 18th century,George Washington
2001,"On July 4, 1776 this head of the Army was in New York preparing for a British attack",George Washington
2001,"Before the Battle of Long Island, he told the Continental Army, “We have...to resolve to conquer or die”",George Washington
2001,"In 1919 Pershing was made General of the Armies, a rank that had been created for this man",George Washington
2001,In 1789 this president announced that he would henceforth only drink porter beer made in America,George Washington
2001,"Bushrod, the favorite nephew of this president, became a Supreme Court justice in 1798",George Washington
2002,He was the first Army general to become president of the United States,George Washington
2002,"When the Constitutional Convention met in May 1787, this man was chosen its presiding officer",George Washington
2002,"This man, then the U.S. pres., was one of the spectators when the 1st balloon voyage in the U.S. took off from Phila. in 1793",George Washington
2002,"He was informed April 14, 1789 that back on February 4, the Electoral College had elected him President",George Washington
2002,"In 1776 he told the Continental Army that it must ""resolve to conquer or die\""",George Washington
2002,In his 1789 address he stated that he didn't believe he should be paid for becoming president,George Washington
2003,"The stepfather of Patsy & Jacky, he was also known as the ""Stepfather of His Country\""",George Washington
2003,In 1748 Lord Fairfax hired this 16-year-old to help survey his lands in the Shenandoah Valley,George Washington
2003,"Although written by Parson Weems, the line ""I can't tell a lie.  I did cut it with my hatchet"" is often attributed to him",George Washington
2003,In 1758 he resigned his commission in the Virginia militia; in 1759 he married Martha Custis,George Washington
2003,He won with the least number of electoral votes ever -- 69,George Washington
2003,"He spins in Virginia when the legal federal holiday for his birthday is celebrated as ""Presidents' Day\""",George Washington
2003,"From 1789 to 1797 he cast only 2 vetoes, an average of 1 per presidential tern",George Washington
2003,"The last work of the creator of Rip Van Winkle was a 5-volume bio of this man, the author's namesake",George Washington
2003,He's the only man on a current U.S. bill who petitioned for an officer's commission in the British military,George Washington
2003,He was the top vote getter in the electoral college of 1789,George Washington
2003,The story of him chopping down a cherry tree was first mentioned in a biography by Mason Weems,George Washington
2004,"In 1753 this Virginian with a future in politics said the area was ""extremely well situated for a fort\""",George Washington
2004,"He had no kids of his own, but he loved his stepdaughter Patsy Custis as if she were his own daughter",George Washington
2004,The current Purple Heart medal has a portrait of this man on it,George Washington
2004,"\""The Surveyor President\""",George Washington
2004,During the war General Thomas Conway suggested that this man be replaced as commander-in-chief,George Washington
2004,He was the first U.S. president to be unanimously elected,George Washington
2004,"On September 17, 1787 this future president became the first person to sign the Constitution",George Washington
2005,John Adams,George Washington
2005,"Though France beat this future American president in a 1754 battle at Fort Necessity, it lost the war",George Washington
2005,"When John Jay quit, John Rutledge failed to win confirmation as Chief Justice for this president",George Washington
2005,"Jefferson, Knox, Hamilton",George Washington
2006,"While he was president, his residence was a house on Cherry Street in New York City",George Washington
2006,"E.-C. Genet, an 18th c. French minister to the U.S., undermined the neutrality policy of this pres., who got him recalled",George Washington
2006,"In 1796 he said that the U.S. should ""steer clear of permanent alliances"" in foreign policy",George Washington
2007,Horatio Greenough's 1840 statue of this president represented him posed like the god Zeus,George Washington
2007,"In 1754 at Fort Necessity, his first major military command brought the one surrender of his career--& to the French!",George Washington
2007,Around 1800 Parson Weems wrote of this man's unauthorized juvenile lumberjacking,George Washington
2007,He's the only U.S. president who never lived in the District of Columbia,George Washington
2008,"Featuring an eagle & a sunburst, one of the most sought-after political buttons in the U.S. is from his 1789 inaugural",George Washington
2008,"According to Parson Weems, this man was incapable of being mendacious",George Washington
2008,"On July 4, 1776 this head of the army was in New York preparing for a British attack",George Washington
2008,The bell may have cracked in February 1846 while ringing in his 114th birthday,George Washington
2009,A 1783 letter signed by this general (& future president) was stolen in the 1940s but turned up at a 2006 auction,George Washington
2009,"With 10, he's the only U.S. president who appointed more justices to the Supreme Court than FDR, who appointed 9",George Washington
2010,"Destined for a political career, Ted Kennedy was born Feb. 22, 1932, the 200th anniv. of this president's birth",George Washington
2010,"In 1754 he ordered his Virginia militiamen to fire on a group of unsuspecting Frenchmen, killing 10",George Washington
2011,"In an 1851 work this general stands in a small boat on the Delaware, a U.S. flag nearby",George Washington
2011,"An education center at his historic home includes galleries called ""First in War"" & ""A Leader's Smile\""",George Washington
2012,2 stepkids: John & Martha,George Washington
2012,Alexander Hamilton,George Washington
2012,"During the Amer. revolution, General Thomas Conway actively advocated that Horatio Gates replace this man",George Washington
2012,The 1900 Lafayette dollar was the first authorized U.S. coin to feature this man; today he appears on another coin,George Washington
2013,"According to the feds, that Monday you get off in February is for this man's birthday",George Washington
2013,"This president's birthplace was presented to the federal government in 1932, 200 years after his birth",George Washington
2013,"When the Gregorian calendar was adopted, his birthday changed from February 11, 1732 to February 22",George Washington
2014,"I cannot tell a lie: you can see this founding father's christening cup at the Charleston Museum, the USA's oldest museum",George Washington
2014,"A 2012 poll by Britain's national army museum voted this man, born in 1732, as the nation's greatest military enemy",George Washington
2014,"Though his family crest is a coronet, in 1782 he rejected the idea of becoming U.S. king",George Washington
2015,"The oldest federal law-enforcement agency, the U.S. Marshals were established when this man signed the 1789 Judiciary Act",George Washington
2015,"I cannot tell a lie, but Barnum sure could; in 1835 Phineas marketed Joice Heth as a 161-year-old ex-nurse to this man",George Washington
2017,At age 57 in 1789 he had only one tooth remaining & wore dentures of hippo ivory made by John Greenwood,George Washington
2019,"In 1976, more than 175 years after his death, this man was promoted by Congress to general of the armies of the United States",George Washington
2019,"This president was ""The American Cincinnatus"", after a Roman who answered the call to leadership but preferred farming",George Washington
2019,He's the only U.S. president who never lived in the White House,George Washington
