year,answer,question
1984,"Though V.P. & president, he was never elected to either post",Gerald Ford
1985,"\'70s president who, as a model, once appeared in ""Look"" magazine",Gerald Ford
1986,"Of the 25 lawyers who have been President, he served most recently",Gerald Ford
1987,"Before becoming president he said ""I am 1st Eagle Scout vice president of the U.S.\""",Gerald Ford
1987,"Future president born Leslie Lynch King Jr., July 14, 1913 in Omaha",Gerald Ford
1987,"He said, ""I must have centered the ball 500,000 times in high school & college\""",Gerald Ford
1988,"Lawrence J. Peter said this man was the 1st pres. ""elected by a majority of 1--& nobody demanded a recount\""",Gerald Ford
1988,He presided over our national Bicentenial celebration,Gerald Ford
1988,He was the 1st incumbent president to debate his opponent for office on TV,Gerald Ford
1989,He became the next vice president after Spiro Agnew,Gerald Ford
1990,This president fits the category because his middle name is Rudolph,Gerald Ford
1990,"In his 1st speech as president he said, ""My fellow Americans, our long national nightmare is over.\""",Gerald Ford
1991,This President’s Secretaries of Defense were James Schlesinger followed by Donald Rumsfeld,Gerald Ford
1994,The University of Michigan,Gerald Ford
1994,He was a boxing & football coach at Yale before attending law school there,Gerald Ford
1995,"He said, ""If you have not chosen me by secret ballot, neither have I gained office by any secret promises\""",Gerald Ford
1996,Ronald Reagan's support helped get Dole the No. 2 slot on this man's 1976 ticket,Gerald Ford
1996,In 1975 he became the 1st president to attend a performance at Ford's Theatre since Lincoln's assassination,Gerald Ford
1997,Oliver Sipple gained fame in 1975 by grabbing Sara Jane Moore's arm as she tried to shoot this man,Gerald Ford
1997,"His golden retriever Liberty gave birth to 9 pups in the White House, giving him even more to trip over",Gerald Ford
1997,"At 12:03 P.M., August 9, 1974 he was sworn in as president in the East Room of the White House",Gerald Ford
1998,"\""A Time to Heal\""",Gerald Ford
1998,Nelson A. Rockefeller,Gerald Ford
1998,"August 9, 1974 - January 20, 1977",Gerald Ford
1998,"In 1974 he said, ""I am acutely aware that you have not elected me as your president\""",Gerald Ford
1999,1973-1974,Gerald Ford
1999,"One of his domestic initiatives was the WIN program, for ""Whip Inflation Now\""",Gerald Ford
1999,"July 14, 1913 in Omaha, Nebraska",Gerald Ford
1999,"Presidents: Richard Nixon, _____, Jimmy Carter",Gerald Ford
2000,"A member of the Warren Commission, he co-wrote ""Portrait of the Assassin"", a book about Lee Harvey Oswald",Gerald Ford
2000,Served in the House of Representatives the longest,Gerald Ford
2000,"Seen here, he didn't just look good in a uniform, he was also an MVP & an All-Star: (playing football at Michigan)",Gerald Ford
2000,Leslie Lynch King,Gerald Ford
2001,"When ""Wheel of Fortune"" with Chuck Woolery premiered on NBC, this man was in his 5th month of 29 as president",Gerald Ford
2001,"MIchigan, 1935; Yale Law School, 1941",Gerald Ford
2001,"After a refusal to help NYC in a 1975 fiscal crisis, a Post banner trumpeted, this president ""To City: Drop Dead\""",Gerald Ford
2001,In 1976 he was the first incumbent president to take part in a campaign debate with a rival candidate,Gerald Ford
2002,In 1976 Bob Dole was his running mate,Gerald Ford
2002,He was the first man to become U.S. president as a result of the 25th Amendment,Gerald Ford
2002,"This man who served from August 9, 1974 to January 20, 1977, had the second shortest term of the 20th Century",Gerald Ford
2002,"The international airport in Grand Rapids, Michigan is named for this man who moved to the city from Nebraska as a child",Gerald Ford
2002,"The last Freemason to be U.S. president, he served for 2 years in the 1970s",Gerald Ford
2002,"While at the University of Michigan, this future President became a college football MVP",Gerald Ford
2003,"1000 Beal Avenue, Ann Arbor, Michigan",Gerald Ford
2003,"... to Grand Rapids, Michigan, where we visited this former President's library & museum",Gerald Ford
2003,"U.S. President Leslie Lynch King, Jr.",Gerald Ford
2004,His wife is seen here,Gerald Ford
2004,Chevy Chase was known for taking a tumble or two when playing this 38th president,Gerald Ford
2004,In July 2003 he returned to the White House for a special dinner in honor of his 90th birthday,Gerald Ford
2004,In 1975 Dick Cheney became this president's Chief of Staff,Gerald Ford
2005,He was the only 20th century president who had previously served as U.S. House Minority Leader,Gerald Ford
2005,"In the 1970s he had the campaign slogan ""He's making us proud again\""",Gerald Ford
2005,Nelson Rockefeller,Gerald Ford
2005,"An amphitheater in Vail, Colorado is named for this U.S. president, a skiing aficionado",Gerald Ford
2005,"\""There is no Soviet domination of Eastern Europe\""",Gerald Ford
2005,"He practiced law in Grand Rapids, Michigan",Gerald Ford
2006,"John F. Kennedy, Gerald Ford, George H.W. Bush",Gerald Ford
2007,"He played center for Michigan's national championship teams of 1932 & '33; he dabbled in politics, too",Gerald Ford
2007,The U.S. merchant ship Mayaguez was seized by Cambodian forces; U.S. forces rescued the crew of 39,Gerald Ford
2008,Sara Jane Moore was one of 2 would-be assassins of this man in 1975,Gerald Ford
2008,This famous American passed away the day after Christmas at the age of 93,Gerald Ford
2009,"Nelson Rockefeller, who had a ""Happy"" wife",Gerald Ford
2009,"After playing golf with this president: ""He hit a birdie--and an eagle, a moose, an elk, an aardvark...\""",Gerald Ford
2009,The U.S. celebrated its bicentennial,Gerald Ford
2009,He was the only member of the Warren Commission who would later face would-be assassins himself,Gerald Ford
2010,Betty Bloomer,Gerald Ford
2011,"The last time the University of Michigan retired a football number was in 1994, in honor of this center who graduated in 1935",Gerald Ford
2012,"The airport serving Grand Rapids, Michigan is named for this 38th president",Gerald Ford
2012,"Ann Arbor, Michigan",Gerald Ford
2012,This man is the only U.S. president since Hoover not named Time magazine's Man or Person of the Year,Gerald Ford
2013,The almost 93 1/2 years between his birth in Nebraska in 1913 & his death in Calif. in 2006 is the longest life of any president,Gerald Ford
2014,was never elected to nationwide office,Gerald Ford
2015,"wrote the autobiography ""A Time to Heal\""",Gerald Ford
2016,"\""The state of the Union was not good... runaway inflation (ruins) every other worthy purpose.  We are slowing it\""",Gerald Ford
2016,U.S. President Leslie Lynch King Jr.,Gerald Ford
2017,The one who served the shortest time as president,Gerald Ford
2018,"Grand Rapids, Michigan",Gerald Ford
2018,"This president who on occasion would clumsily wing a spectator joked, ""People...should stay behind us\""",Gerald Ford
