year,answer,question
1985,"When his wife woke him in 1893, fearing burglars in house, he said, ""In the Senate maybe, not the House\""",Grover Cleveland
1987,"Of 9 presidents who served from 1870 to 1912, he was the only Democrat",Grover Cleveland
1987,"He was inaugurated in 1885 at age 47, & again in 1893 at age 55",Grover Cleveland
1987,"This president dedicated the Statue of Liberty on Oct. 28, 1886",Grover Cleveland
1987,He was president of the United States 100 years ago,Grover Cleveland
1988,"He preceded Benjamin Harrison in the White House, & what do you know, followed him too",Grover Cleveland
1988,This future 2-time president paid a substitute to take his place in the army,Grover Cleveland
1988,"The 22nd & 24th presidents, whose initials were G.C.",Grover Cleveland
1988,"Elected president in 1884 & 1892, he was the only U.S. president born in New Jersey",Grover Cleveland
1989,"In 1871, 14 years before his presidency, he was sheriff of Erie Co., N.Y. & carried out the hangings himself",Grover Cleveland
1990,He was our 22nd & 24th president,Grover Cleveland
1991,"As sheriff of Erie County, N.Y. he personally sprang the trap on 2 murderers",Grover Cleveland
1991,"In the first presidential White House wedding, he married Frances Folsom",Grover Cleveland
1993,"His oldest daughter, Ruth, was born in 1891, between his 2 presidential terms",Grover Cleveland
1994,He was the only chief executive reelected to the presidency after being defeated,Grover Cleveland
1995,"This president was named for the Reverend Stephen Grover of Caldwell, New Jersey",Grover Cleveland
1996,"Carl Schurz was a leader of the Mugwumps, Republicans who left the party in 1884 to support this Democrat",Grover Cleveland
1996,"Not only the first president to marry in the White House, he was also the first to have a child born there",Grover Cleveland
1997,"The fact that the 22nd & 24th presidents share a March 18, 1837 birthday isn't odd; they're both this man",Grover Cleveland
1997,"This president's political enemies referred to him as the ""Beast of Buffalo\""",Grover Cleveland
1998,"March 4, 1885-  March 3, 1889; March 4, 1893- March 3, 1897",Grover Cleveland
1998,He was the only president to deliver 2 nonconsecutive inaugural addresses,Grover Cleveland
1998,"Between his 2 nonconsecutive terms as president, he practiced law in New York City",Grover Cleveland
1999,"He was so hefty he was nicknamed ""Uncle Jumbo""; he probably preferred to be called ""Our Grover\""",Grover Cleveland
1999,"Even after admitting he had sired an illegitimate child, he was still elected president in 1884",Grover Cleveland
1999,He was the first Democratic president elected after the Civil War,Grover Cleveland
1999,"\""The Buffalo Hangman\""",Grover Cleveland
2000,Stephen was the real first name of this president who served 2 non-consecutive terms,Grover Cleveland
2001,"Toward the end of Benjamin Harrison's term, this man was elected president of the U.S. for a second time",Grover Cleveland
2002,"Other than FDR, he's the only Democrat to receive his party's nomination in 3 straight elections",Grover Cleveland
2003,"\""The Hangman of Buffalo\""",Grover Cleveland
2003,"In 1881 he was elected mayor of Buffalo, New York",Grover Cleveland
2003,The economic panic of 1893 hit shortly after he returned as the nation's 24th president,Grover Cleveland
2003,"In 1885 this 22nd & 24th president said, ""Office seeking is a disease...it is ever catching\""",Grover Cleveland
2005,"Peeved at pork & patronage, he vetoed 584 bills in the 1880s & '90s",Grover Cleveland
2005,William Hornblower & Wheeler Peckham gave this president back-to-back losses in 1894,Grover Cleveland
2006,"In his 1885 inaugural address he said that ""Every voter... exercises a public trust\""",Grover Cleveland
2006,"as the sheriff of the Erie County Jail in Buffalo, sprang the trap to hang 2 criminals",Grover Cleveland
2007,In July 1893 this president underwent a secret operation to remove part of his jaw due to cancer,Grover Cleveland
2007,"In 1905 this former U.S. president remarked, ""Sensible and responsible women do not want to vote\""",Grover Cleveland
2008,"I might worry about hanging around with him--he was nicknamed the ""Hangman of Buffalo\""",Grover Cleveland
2009,"Filmed signing a bill into law, in 1895 he became the first U.S. president to appear on moving film",Grover Cleveland
2011,"Of the 9 presidents whose images have a beard or mustache, this late 19th century man is the only Democrat",Grover Cleveland
2013,Benjamin Harrison is the filling in the sandwich of this man's 2 nonconsecutive presidential terms,Grover Cleveland
2014,"His baby Ruth was born in 1891, in between his two terms",Grover Cleveland
2017,"In 1862 he was elected to his first office-- ward supervisor in Buffalo, New York",Grover Cleveland
