year,answer,question
1984,"Our last president without a bachelor's degree, once a Kansas City haberdasher",Harry Truman
1985,"He called himself ""the plain people's pres. against the privileged people's Congress\""",Harry Truman
1985,His in-laws house on Delaware St. was this president's Missouri home,Harry Truman
1986,His speech to the Japanese peace treaty conference in 9/51 was TV's 1st coast-to-coast broadcast,Harry Truman
1986,"\""If you can't stand the heat, stay out of the kitchen\""",Harry Truman
1987,"\""Every individual has a right to expect from his government a Fair Deal\""",Harry Truman
1987,"While he was staying at Blair House, an attempt was made on his life, November 1, 1950",Harry Truman
1987,"May 8, 1884  -  December 26, 1972",Harry Truman
1988,"His administration created the National Security Council, which was in the news a lot in 1987",Harry Truman
1989,"When his K.C. habadashery failed, he threw his hat into the political ring with help from Tom Pendergast",Harry Truman
1989,"He once said, ""I have never given anybody hell.  I just tell the truth... & they think it's hell\""",Harry Truman
1989,"\""The Fair Deal\""",Harry Truman
1990,"This president had the interior gutted & completely restored, & added a balcony",Harry Truman
1990,"Tho most books list his former occupation as haberdasher, he was one for only a couple of years after WWI",Harry Truman
1990,"This president referred to his wife as ""The Boss"" & daughter Margaret as ""The One Who Bosses the Boss\""",Harry Truman
1991,"He called ""The Missouri Waltz"" ""obnoxious as a state song\""",Harry Truman
1992,"This 20th C. president's father had a middle name, Anderson, while he only got an initial",Harry Truman
1993,"Merle Miller's book ""Plain Speaking"" is ""an Oral Biography of"" this 33rd president",Harry Truman
1994,In the 1970s James Whitmore gave 'em hell in a one-man stage show about this president,Harry Truman
1994,"In his will, he left a plot of land in Grandview, Missouri to his Masonic lodge",Harry Truman
1995,"Oscar Collazo, serving a life sentence for his assassination attempt on this president, was released in 1979",Harry Truman
1996,"This president's middle initial, ""S"", honored both of his grandfathers",Harry Truman
1997,In 1950 2 Puerto Rican nationalists made an attempt on this president's life,Harry Truman
1997,This president lived in Blair House for 4 years while the White House  underwent a $5.8 million renovation,Harry Truman
1997,"His library in Independence, Missouri opened to the public in 1957",Harry Truman
1997,In January this former president & his wife Bess were presented with the first 2 Medicare cards,Harry Truman
1997,"He said, ""I never give them hell; I just give them the truth and they think it is hell\""",Harry Truman
1998,"U.S. president whose middle initial ""S"" stood for nothing",Harry Truman
1998,"The ""Man From Missouri\""",Harry Truman
1998,"In 1890, at age 6, he and his family moved to Independence, MO., his home for most of the rest of his life",Harry Truman
1998,"He once said, ""I'm just a politician from Missouri and proud of it\""",Harry Truman
1998,In 1945 he became the oldest veep to succeed to the presidency upon the death of a president,Harry Truman
1998,"Independence, Missouri",Harry Truman
1999,"His 1947 doctrine offered aid to Greece, which was threatened by a Communist insurrection",Harry Truman
1999,1945,Harry Truman
1999,"He was the ""Man from Missouri"" & the ""Man of Independence\""",Harry Truman
1999,"He was the first U.S. president born in Missouri -- Lamar, Missouri, to be exact",Harry Truman
1999,In 1951 this man commuted the sentence of his would-be assassin Oscar Collazo to life in prison,Harry Truman
1999,"FDR had 3 vice presidents, this Missourian being the last",Harry Truman
2000,U.S. president who recognized the new state of Israel; first president Chaim Weizmann gave him a Torah,Harry Truman
2000,"He was ""Haberdasher Harry\""",Harry Truman
2000,"In 1944 this victorious running mate sent FDR a telegram reading, ""Isolationism is dead\""",Harry Truman
2000,"The office & courtroom where this president began his career have been restored in Independence, MO.",Harry Truman
2000,"\""Plain Speaking: An Oral Biography"" was co-written by Merle Miller & this man",Harry Truman
2000,"The 22nd Amendment, limiting a president to 2 terms, was ratified during this man's presidency",Harry Truman
2000,"The only man with ""man"" in his last name to be U.S. president",Harry Truman
2000,"On January 8, 1947, he told Congress that ""America was not built on fear.  America was built on courage\""",Harry Truman
2000,Communist forces invaded South Korea during his second term,Harry Truman
2000,David McCullough won a 1993 Pulitzer for his biography of this Missouri-born president,Harry Truman
2001,Bess Wallace,Harry Truman
2001,In 1947: Kenneth C. Royall,Harry Truman
2001,In 1950 he threatened a music critic who had unkind words for daughter Margaret's singing,Harry Truman
2001,"In Key West, site of his vacation home, the ""Little White House"", he favored loud print shirts like the one seen here",Harry Truman
2001,"His reaction to the North's invasion was ""Dean, we've got to stop the blanks of blanks no matter what\""",Harry Truman
2001,He's the only U.S. president in The Hall of Famous Missourians,Harry Truman
2001,"On August 1, 1946 this president signed the McMahon Act creating the U.S. Atomic Energy Commission",Harry Truman
2002,"In a 1951 speech he said, ""What we are doing in Korea...is...trying to prevent a third world war\""",Harry Truman
2002,"May 8, 1884 in Lamar, Missouri",Harry Truman
2002,"Born in Missouri in 1884, according to his names, he was ""Head of the House"" & ""A Faithful Man\""",Harry Truman
2002,"In 1945, at age 60, he became the oldest veep to succeed to the presidency upon the death of the president",Harry Truman
2003,"He owned a haberdashery in Kansas City, Missouri",Harry Truman
2003,...the Berlin airlift resupplied a Soviet-blocked West Berlin,Harry Truman
2003,In 1944 he ran with FDR,Harry Truman
2004,"Later to become U.S. President, this ""man from Missouri"" attended the Kansas City Law School in the 1920s",Harry Truman
2004,"His presidential library sells aprons with the motto ""If you can't stand the heat, get out of the kitchen\""",Harry Truman
2004,He made the first presidential address telecast from the White House,Harry Truman
2004,"On his 80th birthday, May 8, 1964, he became the first former President to address a regular Senate session",Harry Truman
2004,Alben Barkley was the 35th VP; he was the 34th,Harry Truman
2004,"An amateur pianist, this President often entertained White House guests in the 1940s",Harry Truman
2005,"Etruscans don't know he famously said, ""I don't give 'em hell; I just tell the truth and they think it's hell\""",Harry Truman
2006,"His daughter Margaret was born in Independence, Missouri",Harry Truman
2006,"He announced to the American public, ""The force from which the sun draws its power has been loosed...\""",Harry Truman
2006,"He wrote the letters collected in the book ""Dear Bess\""",Harry Truman
2006,"On June 28, 1919 he married Elizabeth Wallace",Harry Truman
2006,"He was elected as a Missouri senator in 1934; 10 years later, he got a promotion",Harry Truman
2007,"He said, ""I didn't fire"" MacArthur because he was dumb, ""although he was, but that's not against the law for generals\""",Harry Truman
2007,"His presidential library is about 35 miles from the Kansas City, Missouri airport",Harry Truman
2007,"Now turning 60, the USAF was established in September 1947 under this Pres. with Carl Spaatz as Chief of Staff",Harry Truman
2008,"This vice president who later succeeded to the presidency was born May 8, 1884 in Lamar, Missouri",Harry Truman
2008,"He said, ""I do not feel... it is my duty to spend another 4 years in the White House"", then campaigned for Adlai Stevenson",Harry Truman
2008,"In a January 6, 1947 diary entry, he called the White House the ""great white jail\""",Harry Truman
2009,He was a member of the Missouri National Guard,Harry Truman
2009,"Check it out! His presidential library is in Independence, Missouri",Harry Truman
2010,"On July 25, 1945 this president wrote, ""We have discovered the most terrible bomb in the history of the world\""",Harry Truman
2010,"On April 12, 1945 he asked Eleanor Roosevelt, ""Is there anything I can do for you?\""",Harry Truman
2011,Secretary of Defense George C. Marshall,Harry Truman
2011,"Both he and Bess are buried in the courtyard of his Presidential Library in Independence, Missouri",Harry Truman
2012,1946,Harry Truman
2013,"In a PS to an April 12, 1945 letter, he wrote, ""This was dictated before the world fell in on me... what a blow it was, but--I must meet it\""",Harry Truman
2014,"May 8, 1884 in Lamar, Missouri",Harry Truman
2014,"From his July 25, 1947 diary entry: ""Ike & I think MacArthur expects to make a Roman triumphal return to the U.S.\""",Harry Truman
2015,This former haberdasher was Time magazine's Man of the Year for 1945 & 1948,Harry Truman
2016,"On Nov. 1, 1950 Oscar Collazo & Griselio Torresola made an attempt on the life of this politician",Harry Truman
2017,"Though he graduated from high school in 1901 & later graduated to the presidency, he never graduated from college",Harry Truman
2018,"Of the presidents who served more than 4 years, but less than 2 full terms, he served the longest:  7 years, 9 months, 8 days",Harry Truman
2018,"\""Plain Speaking"" is Merle Miller's biography of this man from Missouri",Harry Truman
2019,"In 2018 Claire McCaskill lost her Missouri Senate seat, the one once held by this president",Harry Truman
