year,answer,question
1986,"Born in 1874 during Grant's administration, this President died in 1964 during Johnson's",Herbert Hoover
1986,Only U.S. President whose first & last names fit this category,Herbert Hoover
1987,"1928 presidential candidate who said U.S. economic system was based on ""rugged individualism\""",Herbert Hoover
1987,"\""Principles of Mining"" & ""American Individualism\""",Herbert Hoover
1987,This Iowan was the first President born west of the Mississippi,Herbert Hoover
1987,"August 10, 1874  - October 20, 1964",Herbert Hoover
1988,"Like Coolidge before him, he was sworn in by former president Taft",Herbert Hoover
1988,"The 1556 German science classic ""De re metallica"" was translated into English by this president & his wife",Herbert Hoover
1989,"From March 4, 1933 to January 20, 1953, he was the only living former president",Herbert Hoover
1990,"He used the expression ""Rugged Individualism"" while running for president in 1928",Herbert Hoover
1992,"The first self-made millionaire president, he made his fortune as a mining engineer",Herbert Hoover
1993,"c. 1918 FDR said of this man, ""I wish we could make him president""; in 1932 FDR defeated him for the office",Herbert Hoover
1994,"In 1897 he was hired as a mining engineer at Coolgardie, Australia",Herbert Hoover
1997,"He was born to a blacksmith's wife August 10, 1874 in West Branch, Iowa",Herbert Hoover
1997,"This president's national historic site in West Branch, Iowa has a Quaker meetinghouse on the grounds",Herbert Hoover
1998,Many Americans blamed the Great Depression on this man who was president when it began in 1929,Herbert Hoover
1998,"West Branch, Iowa",Herbert Hoover
1998,"After Coolidge chose not to run again for president, this man did & carried 40 out of 48 states",Herbert Hoover
1998,"The ""Hermit Author Of Palo Alto\""",Herbert Hoover
1998,Lou,Herbert Hoover
1998,"Edith & Archie ""could use a man like"" this president ""again\""",Herbert Hoover
1998,"March 4, 1929 - March 4, 1933",Herbert Hoover
1999,Having Charles Curtis as his running mate in 1932 didn't help; he was not reelected,Herbert Hoover
1999,"\""Principles of Mining\""",Herbert Hoover
1999,"Although he ""crashed"" in the election of 1932, he later led 2 commissions to reorganize the executive branch",Herbert Hoover
1999,"\""My Boyhood in Iowa\""",Herbert Hoover
2000,"\""Mister, we could use a man like"" this one, seen here, ""again"":",Herbert Hoover
2000,"At Stanford University, he majored in mining engineering",Herbert Hoover
2000,"7 months into his term in 1929, the stock market crashed",Herbert Hoover
2000,Lincoln has a monument in Council Bluffs; this other president has a grave in West Branch,Herbert Hoover
2001,"At his death on October 20, 1964, he had survived his presidency longer than any other president: 31 years, 231 days",Herbert Hoover
2001,President Wilson put this future president in charge of the Food Administration,Herbert Hoover
2002,"Elected only the year before, this man was U.S. President when the stock market crashed in 1929",Herbert Hoover
2003,Things named for him during the Depression include a big dam & a type of miserable shantytown,Herbert Hoover
2003,"210 Parkside Drive, West Branch, Iowa",Herbert Hoover
2003,"\""The Great Engineer\""",Herbert Hoover
2005,"Galleries at his Iowa Pres. Library & Museum include ""The Humanitarian Years"" & ""From Hero to Scapegoat\""",Herbert Hoover
2005,October 1964: His death at age 90 leaves Eisenhower & Truman as the only living ex-presidents,Herbert Hoover
2006,"This president once served as a mining engineer in Coolgardie, Australia",Herbert Hoover
2006,A stock-market crash during his presidency vacuumed up $40 billion in losses & 40% of the value of NYSE stocks,Herbert Hoover
2007,This U.S. president was called Bert for short,Herbert Hoover
2008,"When this president & his wife didn't want to be understood by others, they spoke to each other in Chinese",Herbert Hoover
2008,1928: Al Smith,Herbert Hoover
2011,HH,Herbert Hoover
2015,had previously served as Secretary of Commerce,Herbert Hoover
2015,"His Presidential Library & Museum is located in West Branch, Iowa",Herbert Hoover
2017,"A multivolume biography of this president begins with ""The Engineer 1874-1914\""",Herbert Hoover
2017,"\""The Hermit Author of Palo Alto\""",Herbert Hoover
2017,On August 10 this future president was appointed to serve as food administrator for the war effort,Herbert Hoover
2019,"He said, ""Victory over (the) Depression will be...by the resolution of our people to fight their own battles in their own communities\""",Herbert Hoover
