year,answer,question
1996,"This last president born in a log cabin was shot by Charles Guiteau July 2, 1881 & died Sept. 19",James Garfield
1998,This man with a reddish-brown mustache & beard served only 199 days of his term,James Garfield
1999,"Woodrow Wilson, Dwight D. Eisenhower, James Garfield",James Garfield
2000,1881: Charles Guiteau,James Garfield
2002,Abram,James Garfield
2002,"A Civil War general, he was the last man to go directly from the House of Representatives to the presidency",James Garfield
2003,"He was pres. of Case Western Eclectic Institute in Hiram, Ohio 1857-61; his term as U.S. pres. lasted 6 months in 1881",James Garfield
2003,Chester A. Arthur,James Garfield
2004,In 1882 a religious fanatic named Charles Guiteau was hanged for the murder of this man,James Garfield
2005,In 1881 Stanley Matthews failed under Hayes but was confirmed under this doomed president,James Garfield
2007,"In 1881, this president, not Cleveland, was buried in Cleveland",James Garfield
2009,"Shot within 4 months / Soon, civil service reform / Guiteau got his gun",James Garfield
2009,"In 1880 Lawnfield, his Ohio home, was the site of the first successful ""front porch"" campaign",James Garfield
2012,"\""Destiny of the Republic"" is ""A Tale of Madness, Medicine and the Murder of a President""--his lingering death",James Garfield
2012,The only 2 presidents never to present a State of the Union address are William Henry Harrison & this man,James Garfield
2015,Abram,James Garfield
2016,"In late 1880 he was a congressman, a senator-elect & president-elect, all at the same time",James Garfield
2017,"Abram, the longest-lived child of this 19th c. president whose middle name was Abram, died in 1958 at age 85",James Garfield
