year,answer,question
1986,"At 5'4"" & weighing 100 lbs., he was our shortest president",James Madison
1986,"Our shortest president, his fear of crowds made him almost hysterical when asked to speak in public",James Madison
1987,The 2 Princeton grads who served 100 years apart were Woodrow Wilson & this man,James Madison
1988,"His Virginia estate, Montpelier, was  finally opened to the public in 1987, in celebration of the Constitution",James Madison
1988,In 1809 he became the 1st president inaugurated wearing only American-made clothes,James Madison
1989,"This ""Father of the Constitution"" was also its last living signer",James Madison
1989,"When the ""Star-Spangled Banner"" was written, this man was president of the U.S.",James Madison
1990,This future president led the fight for the Bill of Rights,James Madison
1990,This president was the last surviving signer of the U.S. Constitution,James Madison
1992,"\""The Father of the Constitution\""",James Madison
1992,"He served 8 years each as a member of the House, secretary of state & president",James Madison
1995,During the War of 1812 he became the first president to face enemy gunfire while in office,James Madison
1996,"He was nicknamed ""The Sage of Montpelier\""",James Madison
1996,"In the Federalist No. 51, he put forth a case for the separation of powers & a system of checks & balances",James Madison
1997,"The principal author of The Bill of Rights, he proposed many of the 10 amendments",James Madison
1997,"This president considered ""The Father of the Constitution"" is on the $200 bond",James Madison
1997,"In 1789 this future president was elected to Congress from Virginia, defeating James Monroe",James Madison
1998,"On June 1, 1812 this president asked Congress for a declaration of war against Great Britain",James Madison
1998,"This president & his wife are buried on the grounds of their 18th century Virginia estate, Montpelier",James Madison
1998,"Burgess Meredith could have sung ""Hello, Dolley!"" when he played this man in the film ""Magnificent Doll\""",James Madison
1999,"On June 1, 1812 he asked Congress to declare war on Great Britain; Congress did so on June 18",James Madison
1999,"\""The Father of the Constitution\""",James Madison
1999,1808,James Madison
2000,"The Library building named for this ""Father of the Constitution"" is the USA's official memorial to him",James Madison
2000,This fourth president was largely responsible for drafting the Bill of Rights,James Madison
2001,"While Secretary of State from 1801 to 1809, he was president from 1809 to 1817",James Madison
2001,"With the ratification of the Treaty of Ghent, this president declared the War of 1812 over",James Madison
2001,In 1812: William Eustis,James Madison
2001,He was the first sitting president to lead the nation in war,James Madison
2001,"On June 1, 1812 this U.S. president formally asked Congress for a declaration of war against Great Britain",James Madison
2002,"This fourth president, the ""Father of the Constitution"", kept a record of the delegates' debates & decisions",James Madison
2002,"In ""The Federalist"" No. 51, this future president put forth an argument for the separation of powers",James Madison
2002,In 1794 Aaron Burr formally introduced this fourth president to his future first lady,James Madison
2002,"Elbridge Gerry almost became president when this man got very sick in 1813, but wound up dying in office himself",James Madison
2003,...the War of 1812 was fought in the U.S.,James Madison
2004,The man he introduced the widow Dolley Todd to in 1794,James Madison
2004,"Dolley Payne married him September 15, 1794",James Madison
2005,"In ""The Federalist"" he wrote, ""A bad cause seldom fails to betray itself\""",James Madison
2006,"In asking for a declaration of war, this president charged that Britain had stirred up Indian warfare in the Northwest",James Madison
2008,Congress approved the War of 1812,James Madison
2009,"On Sept. 17, 2008--Constitution Day--folks celebrated the architectural restoration of Montpelier, the home of this pres.",James Madison
2011,The 2 presidents to sign the document were George Washington & this one who was very involved in its formation,James Madison
2012,"This ""Father of the Constitution"" told delegates they ""would decide forever the fate of republican government\""",James Madison
2013,He beat Clinton--DeWitt Clinton--in 1812,James Madison
2014,had 2 Vice Presidents (Clinton & Gerry) die in office,James Madison
2016,"This future pres. missed only a ""fraction of an hour"" here or there as he took copious notes of the discussions",James Madison
2017,"Hamilton deemed the views of this once ""Federalist Papers"" pal to be ""dangerous to the Union\""",James Madison
2018,"The papers were the product of Alexander Hamilton, John Jay & him",James Madison
