year,answer,question
1987,He was so popular just 1 elector of 232 didn't vote to re-elect this 5th President,James Monroe
1987,He was the 1st college dropout to go on to become president,James Monroe
1988,"After being wounded in Revolutionary War battle of Trenton, he probably needed some doctrine",James Monroe
1989,Marilyn claimed to be a direct descendant of this U.S. president,James Monroe
1990,He was the first president to live in the White House after it was burned down & rebuilt,James Monroe
1995,This 5th president was the 1st to serve previously as a U.S. senator,James Monroe
1997,"In 1811 Virginia had 4 governors: John Tyler, George William Smith, Peyton Randolph & this fifth president",James Monroe
1997,"The first president who had been a U.S. senator, he represented Virginia from 1790 to 1794",James Monroe
1997,"In 1823 the U.S. lacked the military power to back up this president's ""Doctrine\""",James Monroe
1997,In 1820 this president ran unopposed for reelection,James Monroe
1998,"We presume this Virginian felt good about his nickname, ""The Era-Of-Good-Feeling President\""",James Monroe
1998,"He expressed his doctrine December 2, 1823; the rest is history",James Monroe
1999,"In 1823 he declared that the Americas were no longer ""subjects for future colonization"" by European powers",James Monroe
1999,"His tenure as president from 1817 to 1825 is often referred to as the ""Era of Good Feeling\""",James Monroe
1999,This 5th president died on the 4th of July in 1831 & is buried in Richmond,James Monroe
2000,"He got ""Doctrinaire"" in ""View of the Conduct of the Executive in the Foreign Affairs of the United States\""",James Monroe
2001,"While Secretary of State from 1811 to 1817, he might have been asked, ""What's up, doctrine?\""",James Monroe
2001,Democratic-Republican 1817-1825,James Monroe
2002,"Born in 1758, his first name means ""One Who Supplants"" & his surname means ""From the Red River\""",James Monroe
2002,This former governor of Virginia seen here was also our fifth U.S. president,James Monroe
2003,In 1823 he warned European powers to stay out of the hemisphere in what became known as his doctrine,James Monroe
2003,"Before succeeding Madison as president, he was Madison's secretary of state",James Monroe
2005,He's the only president to have held 2 different cabinet posts: Secretary of State & Secretary of War,James Monroe
2006,"On March 9, 1820 his daughter Maria became the first president's daughter married in the White House",James Monroe
2008,"In the presidential election of 1820, this man got 231 electoral votes & Adams got one",James Monroe
2010,"He had previously been a U.S. senator, minister to France, England & Spain, Secretary of War, Secretary of State & Governor of Virginia",James Monroe
2012,"In a 1789 Congressional race in Virginia, James Madison defeated this future president by 336 votes",James Monroe
2014,Nice balancing act!  This future prez was Madison's Secretary of State & War at the same time,James Monroe
2014,He is the only 19th century president to serve 2 complete terms with the same vice president,James Monroe
2015,"His first address spoke of ""the present happy state"", ""our peculiar felicity"" & our ""happy government\""",James Monroe
