year,answer,question
1984,The 1st graduate of the U.S. Naval Academy to become president,Jimmy Carter
1985,President under whom the U.S. gave full recognition to Communist China,Jimmy Carter
1985,"\""I have often looked at women & committed adultery in my heart\""",Jimmy Carter
1985,Earl,Jimmy Carter
1985,Winner of the Presidential election in which Ronald Reagan got one electoral vote,Jimmy Carter
1987,"When he said, ""I'm going to run for president"", Miss Lillian asked, ""President of what?\""",Jimmy Carter
1987,"At the start of his Presidential campaign, he said ""I'm not from Washington and I'm not a lawyer\""",Jimmy Carter
1988,The Iranians held the U.S. embassy hostages until he left office,Jimmy Carter
1988,"In the 1970s, he appointed Juanita Morris Kreps 1st woman sec'y of the Dept. of Commerce",Jimmy Carter
1988,The only president whose alma mater is Annapolis,Jimmy Carter
1989,"\""Yankee From Georgia\""",Jimmy Carter
1989,He spent 5 of his 7 years in the Navy working in submarines under Hyman Rickover,Jimmy Carter
1990,"He called himself ""A lover of Bob Dylan's songs & Dylan Thomas' poetry"" in ""Why Not the Best?\""",Jimmy Carter
1990,This president's attorneys general were Griffin Bell & Benjamin Civiletti,Jimmy Carter
1992,Lillian Gordy,Jimmy Carter
1992,"\""The Peanut President\""",Jimmy Carter
1996,"Illustrated by his daughter Amy, ""The Little Baby Snoogle-Fleejer"" is this former president's 1st children's book",Jimmy Carter
1996,This President's sister Gloria refused to stop playing harmonica in a Georgia Waffle House & was arrested,Jimmy Carter
1996,He announced he was running for president 1 month before leaving the Georgia governorship,Jimmy Carter
1996,"The only living Democratic ex-president, he didn't attend the 1996 convention, but vacationed in Montana",Jimmy Carter
1996,"On December 20, 1994, this former U.S. President announced the Bosnian ceasefire he'd arranged",Jimmy Carter
1997,"This ex-president turns 74 on October 1, 1998",Jimmy Carter
1997,"As a youth, this Georgian was nicknamed ""Hot"", short for ""Hot Shot\""",Jimmy Carter
1997,"On Oct. 1, 1924, he was born at the Wise Clinic in Plains, Georgia, the first president born in a hospital",Jimmy Carter
1997,"On January 21, 1977 this president pardoned several thousand Vietnam War draft evaders",Jimmy Carter
1997,"The Croats opened fire again May 1, 1995 after the ceasefire negotiated by this ex-U.S. president expired",Jimmy Carter
1997,This president commuted Patty Hearst's jail sentence & was instrumental in a Mideast peace treaty,Jimmy Carter
1997,His presidential center & library on Copenhill Avenue contains in excess of 27 million documents & other artifacts,Jimmy Carter
1997,For most of 1971 he was governor of Georgia,Jimmy Carter
1998,"\""The Carpenter's Apprentice"" tells of this former president & his work with Habitat For Humanity",Jimmy Carter
1998,"In 1974, as governor of Georgia, he appeared on ""What's My Line?"" and stumped the panel",Jimmy Carter
1998,His 1976 campaign plane was called Peanut One,Jimmy Carter
1998,Rosalynn,Jimmy Carter
1998,"On Oct. 30, 1979 this president nominated Shirley Hufstedler to be the first Secretary of Education",Jimmy Carter
