year,answer,question
1984,He was the 1st vice-president,John Adams
1984,"Second U.S. president, he was the 1st defeated for re-election",John Adams
1985,"Alphabetically the 1st signer of the Declaration of Independence, he's also first alphabetically of presidents",John Adams
1985,"\""May none but honest & wise men ever rule under this roof"", said this 1st occupant of the White House",John Adams
1987,"Alphabetically the 1st vice president, 3 letters & 180 years ahead of Agnew",John Adams
1987,"Moving there just 4 months before leaving office, he was 1st to live in the White House",John Adams
1987,1st president from Massachusetts & 1st to graduate from Harvard,John Adams
1987,The last U.S. President in the 18th c.,John Adams
1987,"October 30, 1735  -  July 4, 1826",John Adams
1988,"\""Thomas Jefferson survives\""",John Adams
1988,"At his 1797 inauguration, he used an austere 2-horse carriage, reportedly to avoid ""vulgar insolence\""",John Adams
1988,"\""His Rotundity"" wasn't Taft, but this president who had served as Washington's VP",John Adams
1990,"Of our first 5 presidents, the only one who wasn't from Virginia",John Adams
1991,He was the first of our 26 presidents licensed to practice law,John Adams
1991,"Adopted in 1791, the Bill of Rights bears the signatures of the Speaker of the House & this Vice Pres.",John Adams
1991,"Born in 1735 in Braintree, MA, he wrote most of the articles of the state's constitution",John Adams
1992,"\""The Duke of Braintree\""",John Adams
1992,This man was the first father who was alive when his son became president,John Adams
1993,"He wrote to his wife Abigail, ""I must not write a word to you about politics\""",John Adams
1994,"Alphabetically, he was the first signer of the Declaration of Independence",John Adams
1996,The first president who was a graduate of Harvard,John Adams
1996,"He said Jefferson wanted him to write the first draft, but Jefferson didn't remember it that way",John Adams
1996,He was the first vice president of the United States,John Adams
1997,"This first president from Massachusetts was called ""The Colossus of Independence\""",John Adams
1997,"Living to the age of 90, this president was able to see his son become president as well",John Adams
1997,"July 4, 1826: ""Thomas Jefferson still survives\""",John Adams
1998,"March 4, 1797 - March 4, 1801",John Adams
1998,"In 1820 at age 85, he served as a delegate at Massachusetts' Constitutional Convention",John Adams
1998,The White House wasn't yet finished in 1800 when this second president moved in,John Adams
1998,"Defending British soldiers for the Boston Massacre, he said, ""Facts are stubborn things\""",John Adams
1998,"March 4, 1797- March 3, 1801",John Adams
1998,This future president was the first U.S. ambassador to England in 1785,John Adams
1999,1789-1797,John Adams
1999,"Nearly 91 when he died the same day as Thomas Jefferson, he was the longest-lived president",John Adams
1999,Second U.S. president,John Adams
1999,"He lived to see his son become president as well, but died during his son's term in office",John Adams
2000,He was the first U.S. president to serve just 4 years,John Adams
2000,In 1767 his wife gave birth to a future U.S. president,John Adams
2001,Thomas Jefferson,John Adams
2001,"David McCullough planned a joint bio of Thomas Jefferson & this man, but dropped Jefferson along the way",John Adams
2001,"He told Abigail that the vice presidency was ""the most insignificant office"" contrived or conceived",John Adams
2001,"On March 4, 1801, he rose before dawn & slipped out of Washington to avoid the inauguration of Jefferson",John Adams
2001,Abigail Smith,John Adams
2001,"The musical ""1776"" includes the song ""Sit Down, John"", addressed to this gabby guy from Massachusetts",John Adams
2001,"In a 1774 letter to Abigail he wrote, ""The business of the Congress is tedious beyond expression\""",John Adams
2002,"\""The Duke of Braintree"", ""His Rotundity\""",John Adams
2002,"In the order of presidents, the first guy skipped over in getting his face on the mountain",John Adams
2002,"\""May none but honest and wise men ever rule under this roof"" is from this man's 1800 prayer",John Adams
2002,He was the first person to be runner-up in a U.S. Presidential election & then later win the job,John Adams
2003,"The 9/11 tribute ""On the Transmigration of Souls"" is by this composer with the same name as a U.S. president",John Adams
2003,He had the last people in Washington's Cabinet stay on a while as his cabinet,John Adams
2003,This was the second U.S. president to live in the first White House,John Adams
2003,"In the presidential election of 1800, Alexander Hamilton supported Charles Pinckney over this incumbent",John Adams
2004,"October 30, 1735: Braintree, Massachusetts",John Adams
2004,"He moved into the White House in November 1800, the same month Congress had its first session in Washington",John Adams
2004,He was the first president to live long enough to see his son elected president,John Adams
2004,"Abigail, known as ""Little Abby"", was the oldest child of this U.S. president",John Adams
2004,"Though only 5'7"", this founding father was called ""The Colossus of Independence\""",John Adams
2004,...Napoleon became First Consul & began rule as dictator of France,John Adams
