year,answer,question
1985,"\""Let us never negotiate out of fear, but let us never fear to negotiate\""",John F. Kennedy
1985,"Because he said ""Ich bin ein Berliner"", not ""Ich bin Berliner"", it could have meant ""I am a doughnut\""",John F. Kennedy
1986,He said “Do you realize the responsibility I carry?  I’m (the) only person standing between Nixon & the White House”,John F. Kennedy
1986,"This 20th c. pres. was the only one born under sign of Gemini, characterized by eloquence, wit & charm",John F. Kennedy
1986,"1st & only president listed by ""The Book of Lists"" as having smoked marijuana in the White House",John F. Kennedy
1986,"\""This nation should commit itself to...before this decade is out...landing a man on the moon...\""",John F. Kennedy
1987,"\""We stand today on the edge of a New Frontier\""",John F. Kennedy
1987,He was our only Catholic president,John F. Kennedy
1988,"He said ""The torch has been passed to a new generation of Americans -- born in the 20th century\""",John F. Kennedy
1988,"Hickory Hill, which he later sold to his brother",John F. Kennedy
1988,"In 1964, 5 of the top 10 nonfiction best sellers were by or about this man",John F. Kennedy
1988,He was the 1st candidate to receive Hawaii's electoral vote,John F. Kennedy
1988,"Johnny Carson became permanent host of ""The Tonight Show"" when this man was U.S. President",John F. Kennedy
1988,Gene Tierney said she stopped dating this future president when he said he could never marry her,John F. Kennedy
1989,The 1st presidential limo with complete air conditioning was a 1961 Lincoln he ordered,John F. Kennedy
1989,The 6th floor of the Texas School Book Depository in Dallas houses a museum devoted to his assassination,John F. Kennedy
1990,"On Nov. 24, 1963 Senator Mike Mansfield said, ""A piece of each of us has died"" the moment he was shot",John F. Kennedy
1990,"This U.S. president's yacht was called ""Honey Fitz"" after his maternal grandfather",John F. Kennedy
1990,"In 1961 he described himself as ""the man who accompanied Jacqueline Kennedy to Paris\""",John F. Kennedy
1990,"Davy Crockett was ""King of the Wild Frontier"", & people called him ""Man of the New Frontier\""",John F. Kennedy
1991,Arthur Goldberg was this President's Sec'y of Labor before becoming a Supreme Court Justice,John F. Kennedy
1992,"In 1960 he quipped, ""Mr. Nixon dismissed me as 'another Truman'...I consider him another Dewey\""",John F. Kennedy
1993,"The day before taking office, Clinton prayed at this president's Arlington, Va. grave",John F. Kennedy
1993,"Connecticut Gov. Lowell Weicker won the 1992 ""Profile in Courage"" award named for this President",John F. Kennedy
1993,"Sammy Cahn wrote new lyrics for ""High Hopes"" & it became this man's 1960 campaign song",John F. Kennedy
1996,"The ""New Frontier"" was the domestic program of his 1961-63 administration",John F. Kennedy
1996,"Loewy designed Air Force One for this President & designed his memorial stamp issued May 29, 1964",John F. Kennedy
1996,The airport formerly known as Idlewild is now named for this man,John F. Kennedy
1996,"Fewer than 120,000 popular votes separated Richard Nixon from this man in 1960",John F. Kennedy
1997,"In a 1963 speech at Vanderbilt University, he said, ""Liberty without learning is always in peril\""",John F. Kennedy
1997,"William Manchester's 1983 book about this president is titled ""One Brief Shining Moment\""",John F. Kennedy
1997,This future president & his beautiful wife spent part of their 1953 honeymoon at the San Ysidro Ranch in Santa Barbara,John F. Kennedy
1997,He was a U.S. senator when he married Jacqueline Bouvier in 1953,John F. Kennedy
1997,In 1943 this PT-109 skipper helped save the lives of his crew & won a Purple Heart,John F. Kennedy
1997,"May 29, 1917 in Brookline, Massachusetts",John F. Kennedy
1997,On November 8 he was elected our nation's first Roman Catholic president,John F. Kennedy
1997,"He won the popular vote in 1960 by just 113,057 votes",John F. Kennedy
1998,"\""Ask not what your country can do for you...\""",John F. Kennedy
1998,"When asked how he became a hero, this president replied, ""It was involuntary.  They sank my boat\""",John F. Kennedy
1998,1940's Harvard yearbook lists this man's intended vocation as law,John F. Kennedy
1998,"The Profile in Courage Award is presented on or near the anniv. of his birth; he would have been 80 May 29, 1997",John F. Kennedy
1998,On Grandma's wall there's a picture of this president from his Navy days on a PT boat,John F. Kennedy
