year,answer,question
1989,"\""Tippecanoe's"" VP, he was 1st to succeed to the presidency after death of the incumbent",John Tyler
1992,This 10th U.S. Pres. was elected to the Confederate House of Reps. but died before taking office,John Tyler
1992,He served as vice president for the shortest length of time: one month,John Tyler
1995,In 1843 Daniel Webster resigned as this president's Secretary of State,John Tyler
1997,In 1861 this ex-president from Virginia was chairman of a peace convention that tried to avert civil war,John Tyler
1998,HENRY JOLT,John Tyler
1998,"He was the 1st to succeed to the presidency due to a death, & the 1st incumbent pres. photographed, in 1844",John Tyler
2002,"A catchy 1840 campaign slogan paired ""Tippecanoe and"" this running mate ""too\""",John Tyler
2002,He was the first U.S. president who never had a vice president,John Tyler
2004,He was the tenth president & the second Whig president,John Tyler
2004,"Harrison Tyler, who lives at Sherwood Forest Plantation in Va., is the grandson of this pres. who was born in 1790",John Tyler
2004,He was the first vice president to cast zero tiebreaking votes in his capacity as president of the Senate,John Tyler
2005,He was the first president born after the adoption of the U.S. Constitution,John Tyler
2006,He was the first vice president to become president upon the death of a president,John Tyler
2008,"A ""Gray Lady"" who can be heard walking through rooms haunts Sherwood Forest, the Va. home of this 10th president",John Tyler
2010,He was the first vice president to assume the presidency upon the death of a president,John Tyler
2011,President John Tyler was the son of Mary Armistead & this governor,John Tyler
