year,answer,question
1985,The only president to be sworn in by a woman,Lyndon Johnson
1985,Baines,Lyndon Johnson
1986,The Department of Housing & Urban Development was created under this president's administration,Lyndon Johnson
1986,"\""Mah fellow Americans, I was your 2nd-tallest president\""",Lyndon Johnson
1987,He was re-elected to the U.S. Senate & at the same time elected Vice President of the U.S.,Lyndon Johnson
1987,"\""I seldom think of politics more than 18 hours a day,"" said this '60s president",Lyndon Johnson
1987,"In the 1960s, Peter Hurd became well known for a portrait rejected by this president",Lyndon Johnson
1987,President whose oath of office was administered by judge Sarah T. Hughes,Lyndon Johnson
1988,The Elms,Lyndon Johnson
1988,In 1973 the Manned Spacecraft Center in Houston was renamed for this president,Lyndon Johnson
1989,"\""The Great Society\""",Lyndon Johnson
1989,This year Texas will celebrate what would have been this president's 81st birthday,Lyndon Johnson
1990,U.S. district judge Sarah Hughes administered the oath of office to him aboard Air Force One,Lyndon Johnson
1990,"After his dog named ""Him"" was killed, J. Edgar Hoover gave this president ""J. Edgar\""",Lyndon Johnson
1991,"In March, 1964, he said, ""For the first time in our history, it is possible to conquer poverty\""",Lyndon Johnson
1991,In 1935 he was appointed director of the National Youth Administration in Texas,Lyndon Johnson
1992,He was the most recent Democratic Vice President to become President,Lyndon Johnson
1994,Southwest Texas state,Lyndon Johnson
1995,"In 1971 he published ""The Vantage Point: Perspectives of the Presidency, 1963-1969\""",Lyndon Johnson
1996,This JFK vice president served as chairman of the National Aeronautics & Space Council,Lyndon Johnson
1996,"In 1964 he lifted his beagles Him & Her by the ears on the White House lawn, provoking protest",Lyndon Johnson
1997,"August 27, 1908 near Stonewall, Texas",Lyndon Johnson
1997,"On Nov. 27, 1963 he told Congress, ""All I have I would have given gladly not to be standing here today\""",Lyndon Johnson
1997,"This man's wife, the former Claudia Alta Taylor, was the mother of Lynda Bird & Luci Baines",Lyndon Johnson
1997,"In 1964 he told a National Urban League conference, ""We must open the doors of opportunity\""",Lyndon Johnson
1997,In 1953 this Texas Democrat succeeded Ernest McFarland as Senate majority leader,Lyndon Johnson
1997,"\""Landslide Lyndon\""",Lyndon Johnson
1998,"He asked us to join him ""And march along the road... that leads to the Great Society\""",Lyndon Johnson
1998,"Long before he was president, he taught debate & public speaking at Sam Houston High School from 1930 to 1931",Lyndon Johnson
1998,Hubert H. Humphrey,Lyndon Johnson
1998,Alice Glass reportedly broke off her affair with this president because she opposed the Vietnam War,Lyndon Johnson
1999,1967's Time magazine Man of the Year,Lyndon Johnson
1999,"\""Landslide\""",Lyndon Johnson
1999,From 1935 to 1937 he served as director of the National Youth Administration in Texas,Lyndon Johnson
1999,"Merle Miller's 1980 book ""Lyndon"" is ""An Oral Biography"" of this man",Lyndon Johnson
1999,"On May 22, 1964 this president told America, ""The great society rests on abundance and liberty for all\""",Lyndon Johnson
1999,In 1965 he became the first sitting president to meet a pope in the U.S. when he met Paul VI,Lyndon Johnson
1999,1961-1963,Lyndon Johnson
1999,"On March 31, 1968, he announced on national TV that he would not seek re-election",Lyndon Johnson
1999,"\""Big Daddy from the Pedernales"" is a biography of this Texan",Lyndon Johnson
2000,"He was born on a farm near the Pedernales River on August 27, 1908",Lyndon Johnson
2000,Baines,Lyndon Johnson
2000,"In 1966 he told us, ""The Great Society leads us along three roads -- growth and justice and liberation\""",Lyndon Johnson
2000,"In his 1964 State of the Union he said, responding to Khrushchev's boast, ""We do not intend to be buried\""",Lyndon Johnson
2000,"Sam Ealy Johnson, Jr.",Lyndon Johnson
2000,"In an April 17, 1965 speech in Johnson City, Texas, this president rejected appeals to halt the bombing in Vietnam",Lyndon Johnson
2000,"Yuki, a mongrel found at a Texas gas station by daughter Luci, was his favorite pooch",Lyndon Johnson
2001,"This then-living man was the main target of the mid-1960s play ""MacBird!\""",Lyndon Johnson
2001,"On January 22, 1973 this politician suffered a fatal heart attack near Johnson City, a town founded by an ancestor",Lyndon Johnson
2001,He was the one & only U.S. president to take the oath of office aboard an airplane,Lyndon Johnson
2001,"Before 1992, the last time Illinois voted for a Democrat in the presidential election was for this man in 1964",Lyndon Johnson
2001,He created cabinet posts for HUD & the Department of Transportation,Lyndon Johnson
2002,"His middle name, Baines, was his mother's maiden name",Lyndon Johnson
2002,"He signed the Education Act of 1965 in his old elementary school near Stonewall, Texas",Lyndon Johnson
2002,He was the last president to take the oath of office from someone other than the Chief Justice of the U.S.,Lyndon Johnson
2003,"...the Beatles appeared on ""The Ed Sullivan Show\""",Lyndon Johnson
2003,"2313 Red River Street, Austin, Texas",Lyndon Johnson
2003,This president showed off his gall bladder surgery scar in the photo seen here,Lyndon Johnson
2003,Hubert Humphrey,Lyndon Johnson
2003,He beat Goldwater in 1964,Lyndon Johnson
