year,answer,question
1985,"Our 8th president, he was 1st to be born an American citizen & not a British subject",Martin Van Buren
1987,"He was born in & died in Kinderhook, New York",Martin Van Buren
1988,"If you know his nickname was the ""Kinderhook Fox"", you'll know he was buried in Kinderhook, NY",Martin Van Buren
1989,"Of Dutch descent, he was the son of a farmer named Abraham",Martin Van Buren
1989,He was the 8th president & the first born in the United States,Martin Van Buren
1990,Jackson's choice for minister to Great Britain; after the Senate turned him down he became VP & then president,Martin Van Buren
1994,"Some of his detractors called him ""Whiskey Van\""",Martin Van Buren
1995,"Running for reelection in 1840, this 8th U.S. president failed to carry even his home state",Martin Van Buren
1996,"Lindenwald in Kinderhook, New York",Martin Van Buren
1996,"\""The Red Fox of Kinderhook"", he was also called ""The Little Magician\""",Martin Van Buren
1996,This president from Kinderhook was the first who wasn't born a British subject,Martin Van Buren
1997,"Kinderhook Cemetery, Kinderhook, New York",Martin Van Buren
1999,"December 5, 1782 in Kinderhook, New York",Martin Van Buren
2000,"This U.S. president was nicknamed ""Matty\""",Martin Van Buren
2000,"Nicknamed ""Little Magician"" for his behind-the-scenes maneuvers, he followed ""Old Hickory"" into office",Martin Van Buren
2001,"Seen here, he ran for president three times, but only won the first time in 1836",Martin Van Buren
2002,"The ""Kinderhook Fox\""",Martin Van Buren
2003,He was the first U.S. president not of British descent,Martin Van Buren
2004,"December 5, 1782: Kinderhook, New York",Martin Van Buren
2004,He's the only president with a 2-word last name,Martin Van Buren
2004,"Abraham, Martin, John",Martin Van Buren
2006,This New Yorker was the first president born after America declared its independence,Martin Van Buren
2006,MVB,Martin Van Buren
2007,He ran for president 3 times but won only the first time,Martin Van Buren
2008,He was the eighth U.S. Vice President & the eighth U.S. President,Martin Van Buren
2009,He was the first U.S. president born after the country won its independence,Martin Van Buren
2010,"Only 5'6"", this 8th President was a mini-van",Martin Van Buren
2011,MVB,Martin Van Buren
2013,"Although born in the United States, he was the only president who spoke English as a second language",Martin Van Buren
2015,"This ex-president got the kinderhook on July 24, 1862",Martin Van Buren
2016,A 19th century president:  RUN VIBRANT AMEN,Martin Van Buren
2018,"Kinderhook, New York",Martin Van Buren
2018,"This president inherited Andrew Jackson's financial policies, which spurred on the stock world's ""Panic of 1837\""",Martin Van Buren
2019,This New Yorker & future president joined the Senate in 1821 & soon led the fight against imprisonment for debt,Martin Van Buren
