year,answer,question
1984,"In his memoirs, he insists he really won in 1960",Richard Nixon
1985,"His tearful '62 prediction, ""This is my last press conference"", didn't prove true",Richard Nixon
1985,"In '74, he became only U.S. president ever to appear on the stage of the Grand Ole Opry",Richard Nixon
1985,"\""When the president does it, that means that it is not illegal\""",Richard Nixon
1986,The only vice president from California,Richard Nixon
1986,"His mother said this 37th President was ""the best potato masher"" she had ever known",Richard Nixon
1986,"Despite claims he did, Mort Sahl says he never asked ""Would you buy a used car from"" this V.P.",Richard Nixon
1986,"The ""Center for the Strange"" predicted this ex-president will write an erotic best seller",Richard Nixon
1987,He's the only president whose name is on a plaque on the moon,Richard Nixon
1987,"#23 on Whittier College Poets, this President is remembered for inspirational halftime pep talks",Richard Nixon
1987,"\""It is time for the great silent majority of Americans to stand up & be counted\""",Richard Nixon
1987,"He said, ""No matter what , I will not resign""--3 days before he resigned in 1974",Richard Nixon
1987,1st president for whom 18-year-olds across the USA could have voted,Richard Nixon
1988,Only president to suggest a play that was used in the Super Bowl,Richard Nixon
1988,La Casa Pacifica,Richard Nixon
1988,"In 1962, ""Pat"" Brown defeated him in race for governor of California",Richard Nixon
1989,"In a 1969 speech, he was 1st to refer to ""The Great Silent Majority\""",Richard Nixon
1989,"Quaker novelist Jessamyn West was a cousin of this U.S. president, who's also a Quaker",Richard Nixon
1989,In 1985 this former president arbitrated the Major League umpire labor dispute,Richard Nixon
1989,"Following the famous ""Checkers"" speech, D. Eisenhower told him, ""You're my boy\""",Richard Nixon
1990,"He said, ""People have got to know whether or not their president is a crook\""",Richard Nixon
1990,This president appointed Warren Burger chief justice,Richard Nixon
1990,He was the last president to be one of the litigants in a case before the Supreme Court,Richard Nixon
1990,"On June 14, 1959 this vice president & his family opened Disneyland's monorail",Richard Nixon
1990,This Republican was the last president who had no sons--but he did have daughters,Richard Nixon
1990,"\""You won't have"" this man ""to kick around anymore, because, gentlemen, this is my last press conference.\""",Richard Nixon
1991,"On Sept. 8, 1974 he was pardoned for any crimes he may have committed while president",Richard Nixon
1992,"Running for V.P. he told the nation about his daughters' cocker spaniel, Checkers, on September 23",Richard Nixon
1992,The only VP to become president not immediately after his vice presidential term,Richard Nixon
1993,In September 1974 he accepted the presidential pardon but didn't say his mistakes had been criminal,Richard Nixon
1993,"In 1952, he said, ""Pat doesn't have a mink coat. But she does have a respectable Republican cloth coat\""",Richard Nixon
1994,Whittier College,Richard Nixon
1995,"On August 9, 1974, he became the first U.S. president to resign",Richard Nixon
1996,"His 32¢ stamp was issued April 26, 1995",Richard Nixon
1996,"In 1970 he declared it time for the great silent majority of Americans to stand up and be counted\""",Richard Nixon
1996,"An estimated 60 million people watched his ""Checkers"" speech September 23, 1952",Richard Nixon
1997,"President who called Watergate ""A burden I shall bear for every day of the life that is left to me\""",Richard Nixon
1997,"Diane Sawyer was a staff assistant to this president in the White House & after his resignation, in San Clemente",Richard Nixon
1997,"Billy Graham presided over his funeral services April 27, 1994 in Yorba Linda, California",Richard Nixon
1997,"January 9, 1913 in Yorba Linda, California",Richard Nixon
1997,"Among his nicknames were ""Gloomy Gus"" & ""Tricky Dick\""",Richard Nixon
1997,This president's 1972 visit to China inspired an opera that played at the Kennedy Center in 1988,Richard Nixon
1997,In 1972 he went to both Moscow & Peking,Richard Nixon
1997,"In August 1974 he returned to his home in San Clemente, California, reportedly in a deep depression",Richard Nixon
1998,"\""I have never been a quitter.\""",Richard Nixon
1998,Gore Vidal's play about this president opened & closed a few weeks before the Watergate break-in,Richard Nixon
1998,"On Sept. 9, 1974 news fit to print included the pardon of this man & ""Knievel Safe As Rocket Falls\""",Richard Nixon
1998,President who signed the Alaskan Pipeline Act during the energy crisis,Richard Nixon
1998,He was the first California native to become vice president & the first to become president,Richard Nixon
1998,"At his 1969 inaugural he said, ""The greatest honor history can bestow is the title of peacemaker\""",Richard Nixon
1998,"He told America, ""To leave office before my term is completed is abhorrent to every instinct in my body\""",Richard Nixon
1998,"Hearings to determine whether this president should be impeached began May 9, 1974",Richard Nixon
1999,"Only 2 presidential libraries are not administered by the National Archives: Hayes' in Ohio & his in Yorba Linda, CA.",Richard Nixon
1999,1968,Richard Nixon
1999,Hello out there...in 1969 this president placed the first telephone call to the moon,Richard Nixon
1999,"\""No More Vietnams\""",Richard Nixon
2000,"\""Breach of Faith\""",Richard Nixon
2000,"\""Eight years from now America will celebrate its two-hundredth anniversary as a nation\""",Richard Nixon
2000,Anthony Hopkins' portrayal of this president in a 1995 film was a bit more serious than Dan Hedaya's in 1999,Richard Nixon
2000,The 1st U.S. president Mao received on an official state visit was this man in the 1970s,Richard Nixon
2000,When Sputnik 1 went up,Richard Nixon
2000,"He dedicated the Rathbun Dam July 31, 1971",Richard Nixon
2000,"He lost the popular vote to JFK in 1960 by .2%, but won the presidency 8 years later in another squeaker by .7%",Richard Nixon
2000,In July 1959 he traveled to the Soviet Union to open an American exhibit in Moscow,Richard Nixon
2000,Hannah Milhous,Richard Nixon
2000,In 1976 this former president was disbarred in New York State,Richard Nixon
2000,"Henry Cabot Lodge, Jr.",Richard Nixon
2000,"During his term, the voting age was lowered from 21 to 18",Richard Nixon
2000,"On September 8, 1974, he was granted ""A full, free and absolute pardon\""",Richard Nixon
2000,"Talk about a checkered past!  In 1952 he gave his famous ""Checkers"" speech",Richard Nixon
2000,"Seen here, he was ""tricky"" enough to be something of a hunk playing football for Whittier College:",Richard Nixon
2001,He's the only man elected vice president twice & elected president twice,Richard Nixon
2001,Hubert Humphrey & then George McGovern,Richard Nixon
2001,"Whittier, 1934; Duke Law School, 1937",Richard Nixon
2001,"Francis, the father of this 37th U.S. president, became a Quaker after marrying Hannah Milhous",Richard Nixon
2001,"Melvin Laird, Elliot Richardson & James Schlesinger",Richard Nixon
2001,"In 1977 he told David Frost, ""When the president does it, that means it is not illegal\""",Richard Nixon
2001,"Sources say he wrote his November 1969 ""Silent Majority"" speech all by himself",Richard Nixon
2001,Tricia Cox,Richard Nixon
2001,"Earl Butz, John Mitchell, Henry Kissinger",Richard Nixon
2001,"Alger Hiss got 5 years after his 1950 perjury trial, thanks to this CA. Congressman who had his own legal issues in '74",Richard Nixon
2002,Milhous,Richard Nixon
2002,"\""The Final Days"" (1976)",Richard Nixon
2003,"He was a Vice Presidential candidate when he made his famous ""Checkers"" speech in 1952",Richard Nixon
2003,"\""Blind Ambition"" was John Dean's personal memoir of his years in the Administration of this President",Richard Nixon
2003,...Neil & Buzz strolled across the Sea of Tranquility,Richard Nixon
2003,1953-1961,Richard Nixon
2003,"In 1972 George McGovern called this president's administration the ""most corrupt"" in U.S. history",Richard Nixon
2003,Elliot Richardson,Richard Nixon
2003,"An odd subject for an opera, but composer John Adams wrote one about this president's 1972 trip to China",Richard Nixon
2003,He served 2 terms as Vice President & was the first Vice President who had been born in the 20th century,Richard Nixon
2004,Lyndon Johnson's predecessor,Richard Nixon
2004,"In a November 3, 1969 speech, he used the phrase ""The great silent majority\""",Richard Nixon
2004,...Alaska & Hawaii were admitted to the Union,Richard Nixon
2004,Anthony Hopkins & Dan Hedaya: this political figure,Richard Nixon
2004,"In 1962 he published a book on his career highlights to date -- ""Six Crises\""",Richard Nixon
2004,"\""One Man Alone\""",Richard Nixon
2004,"His cousin Jessamyn West's novel ""Friendly Persuasion"" has a hero based on his great-grandfather Joshua Milhous",Richard Nixon
2005,The last time there were no living ex-presidents was when this man was president,Richard Nixon
2005,This president's daughter Tricia was married in the White House Rose Garden,Richard Nixon
2006,Staffer Alexander Butterfield shocked the U.S. by saying that this president taped his Oval Office conversations,Richard Nixon
2006,"After April 22, 1994 in New York City, we didn't have him to kick around anymore",Richard Nixon
2006,"Yorba Linda, California",Richard Nixon
2006,"In 1946 he won California's 12th district seat, in part by implying Democrat Jerry Voorhis had Communist ties",Richard Nixon
2007,Melvin Laird,Richard Nixon
2007,"Secretary of Labor George Shultz, Attorney General John Mitchell",Richard Nixon
2007,Gerald Ford issued 382 pardons but the one issued to this man in 1974 is said to have cost Ford the 1976 election,Richard Nixon
2007,Spiro Agnew,Richard Nixon
2008,Richard I  (& Shakespeare thought Richard III was the bad one!),Richard Nixon
2008,The Supreme Court rejected absolute executive privilege in the 1974 case United States v. this man,Richard Nixon
2008,"This president flushed himself from office after ""Plumbers"" broke open a torrent at Watergate",Richard Nixon
2008,In 1960 it was him & Henry Cabot Lodge Jr.,Richard Nixon
2008,"Stephen Ambrose looked at this president's ""Ruin and Recovery, 1973-1990\""",Richard Nixon
2008,He was captain of the debating team at Whittier College in California,Richard Nixon
2009,"Paul called being on this guy's enemies list ""The highest single honor I've ever received\""",Richard Nixon
2009,"After a gathering of Ford, Carter & this president, Bob Dole said, ""There they were.  See no evil, hear no evil & evil\""",Richard Nixon
2009,Man first set foot on the Moon,Richard Nixon
2009,On January 20 he was sworn in as president of the United States,Richard Nixon
2010,"Books about him include ""One Man Alone"" & ""Arrogance of Power\""",Richard Nixon
2011,"As both vice president & president, he threw out a season's 1st pitch, each time for a different Senators franchise",Richard Nixon
2012,"In August 1974 his younger daughter Julie left him a note: ""Dear daddy, I love you. Whatever you do I will support\""",Richard Nixon
2012,"\""They keep asking"" him ""why he won't debate Humphrey. That's like asking Rosemary why she won't have another baby\""",Richard Nixon
2013,"\""I am not a crook\""",Richard Nixon
2013,He pardoned Jimmy Hoffa; later he'd need one himself,Richard Nixon
2013,"In this man's term, the Service began protecting foreign dignitaries such as Golda Meir, who had a state dinner with him",Richard Nixon
2013,"I practiced law in Los Angeles, then lost a run for statewide office; I wasn't done with politics, though",Richard Nixon
2014,"Ironically, in 1969 Rose Mary Woods, this man's secretary, was the victim of one of the Watergate's first burglaries",Richard Nixon
2015,"On March 16, 1974 this president played piano at the dedication of the Grand Ole Opry House in Nashville",Richard Nixon
2017,The one born farthest west in the continental U.S.,Richard Nixon
2018,"He became an ex-president while flying over a point 13 miles southwest of Jefferson City, Missouri",Richard Nixon
2018,"Born the farthest west in the continental U.S. of any president, he would later die farthest from his birthplace",Richard Nixon
