year,answer,question
1984,"This president is said to be related to John Kennedy, Princess Di & F. Mitterand",Ronald Reagan
1985,"\""One way to make sure crime doesn't pay would be to let the government run it\""",Ronald Reagan
1985,"Though he left the service after WWII as a captain, today he holds the highest rank possible",Ronald Reagan
1986,"Stints as a radio sportscaster for WOC & WHO helped train this ""Great Communicator\""",Ronald Reagan
1986,"He called Mayor Clint Eastwood to ask ""What's an actor who once played with a monkey doing in politics?\""",Ronald Reagan
1987,"The July 17, 1955 opening day TV show was hosted by A. Linkletter, B. Cummings, & this future Calif. governor",Ronald Reagan
1987,"His wife, born Anne Frances Robbins, is a 10th cousin to England's Princess Diana",Ronald Reagan
1987,"\""Some of my best friends are MX missiles\""",Ronald Reagan
1987,"This politician's last film, ""The Killers"", was made for TV but shown in theaters because of its violence",Ronald Reagan
1987,First labor union leader who went on to become U.S. president,Ronald Reagan
1988,Last man to be elected president who was born east of the Mississippi River,Ronald Reagan
1988,"He kept stressing the Soviet maxim ""Doveryai no proveryai"", ""Trust but verify\""",Ronald Reagan
1988,"After he moves out of his office on Pennsylvania Avenue, he rents an office in Los Angeles",Ronald Reagan
1988,Rancho del Cielo,Ronald Reagan
1989,"Showing he'd rather switch than fight, this future pres. changed from Democrat to Republican in 1962",Ronald Reagan
1989,This president once appeared in an ad saying he was sending Chesterfields to all his friends for Christmas,Ronald Reagan
1989,This former actor is probably the most famous graduate of Illinois' Eureka College,Ronald Reagan
1989,"As Drake McHugh in 1942's ""Kings Row"", he uttered the line ""Where's the rest of me?\""",Ronald Reagan
1990,"Facts About the Presidents lists ""corporate spokesman"" as one of his former occupations",Ronald Reagan
1990,This president appointed the most members of the current court,Ronald Reagan
1990,"He played a crime king in his last film, 1964's ""The Killers\""",Ronald Reagan
1992,"\""Dutch\""",Ronald Reagan
1993,Raymond J. Donovan served as this president's first Secretary of Labor,Ronald Reagan
1993,"On living in the White House, he said in 1983, ""You get a little stir-crazy during the week\""",Ronald Reagan
1993,"In ""Kings Row"", he asked Ann Sheridan, ""Where's the rest of me?\""",Ronald Reagan
1993,"In the fall of 1954, he became host of ""General Electric Theater"", a job he retained for 8 years",Ronald Reagan
1994,Eureka College,Ronald Reagan
1994,"His 11th commandment was ""Thou shalt not criticize other Republicans",Ronald Reagan
1994,"While an actor, this president served six terms as president of the Screen Actors Guild",Ronald Reagan
1994,In June 1969 this California governor gave the eulogy at the funeral of actor Robert Taylor,Ronald Reagan
1994,"In 1938 he appeared with Susan Hayward in Warner Brothers' prison drama ""Girls on Probation\""",Ronald Reagan
1995,"On June 7, 1966 he won the Calif. GOP gubernatorial primary over ex-San Francisco mayor George Christopher",Ronald Reagan
1995,On January 5 this president submitted the USA's first trillion-dollar budget to Congress,Ronald Reagan
1996,"His presidential library is located in Simi Valley, California",Ronald Reagan
1996,The 1st & only president born in Illinois,Ronald Reagan
1996,In 1987 Romare Bearden was awarded the National Medal of Arts by this U.S. president,Ronald Reagan
1996,In 1947 this future president testified before the House Un-American Activities Committee,Ronald Reagan
1996,"He chose Bush as his running mate though they disagreed on cutting taxes, abortion & the E.R.A.",Ronald Reagan
1996,"In 1984 this U.S. president visited Ballyporeen, his ancestral village",Ronald Reagan
1997,"Though living presidents can't appear on U.S. stamps, this living 40th president is on Grenada's stamps",Ronald Reagan
1997,Eureka College in Illinois is the alma mater of this U.S. president born not far off in Tampico,Ronald Reagan
1997,He was married to an Academy Award winner,Ronald Reagan
1998,This actor won the California governorship in 1966 using the unrest at Berkeley as a campaign issue,Ronald Reagan
1998,"While attending Eureka College, this future president served as a reporter for the Pegasus, the school paper",Ronald Reagan
1998,He's the only U.S. president you can step on,Ronald Reagan
1998,"On Jan. 20, 1981 Iran released its hostages & this president was inaugurated",Ronald Reagan
1998,"The ""Errol Flynn of B Movies\""",Ronald Reagan
1998,In 1998 Washington National Airport was renamed in honor of this president on his 87th birthday,Ronald Reagan
1998,"He starred as Professor Boyd in ""Bedtime for Bonzo"" but didn't do the sequel, ""Bonzo Goes to College\""",Ronald Reagan
1998,"This man's first name is misspelled ""Donald"" in his 1928 high school yearbook",Ronald Reagan
1998,In 1959 he was president of the Screen Actors Guild; 10 years later he was governor of California,Ronald Reagan
1999,"\""Where's the Rest of Me?\""",Ronald Reagan
1999,"February 6, 1911 in Tampico, Illinois",Ronald Reagan
1999,"He gained fame doing sports on radio station WHO Des Moines, moved into actng & later tried politics",Ronald Reagan
1999,He's the only president of the United States who had been divorced,Ronald Reagan
1999,"On Jan. 20, 1985 this man was sworn in for his second term as U.S. president",Ronald Reagan
1999,"Head of the former head of the country, seen here: (U.S. president, '81-'89)",Ronald Reagan
1999,"The first female U.S. Supreme Court justice, Sandra Day O'Connor, was appointed by this president",Ronald Reagan
1999,In 1998 America's second-largest federal building was named in his honor,Ronald Reagan
1999,"He ""acted"" as president under the nickname ""Dutch\""",Ronald Reagan
1999,He played Secret Service agent Brass Bancroft in 4 films years before he himself needed Secret Service protection,Ronald Reagan
1999,"\""The Great Communicator\""",Ronald Reagan
1999,"In 1985 he said that freedom was ""The universal right of all God's children\""",Ronald Reagan
1999,"He's the 20th century U.S. president whose ""do"" is seen here (""Well..."")",Ronald Reagan
