year,answer,question
1984,"Adventurous 26th president, he was 1st to ride in an automobile & an airplane",Theodore Roosevelt
1984,"1st president to win Nobel Peace Prize, though he ""carried a big stick\""",Theodore Roosevelt
1984,"Some 30 years before his cousin's New Deal, he gave us a ""Square Deal\""",Theodore Roosevelt
1984,"Phrase ""My hat is in the ring"" originated with this 1912 ""Bull Moose"" candidate",Theodore Roosevelt
1985,"Said he could either run the country or control his daughter Alice, ""But not both\""",Theodore Roosevelt
1985,"In 1912, this former president ran a 3rd party campaign & came in 2nd",Theodore Roosevelt
1985,"In 1912, this pres. candidate declared, “We stand at Armageddon, & we battle for the Lord”",Theodore Roosevelt
1985,"President portrayed by Brian Keith in ""The Wind and the Lion\""",Theodore Roosevelt
1985,"He said McKinley had ""no more backbone than a chocolate eclair"" but was his V.P. & successor",Theodore Roosevelt
1986,"Reportedly, this ""Rough Rider"" once compared McKinley's backbone to a chocolate elcair",Theodore Roosevelt
1986,State's only nat'l park is named for this president whose ranch was in the Badlands there,Theodore Roosevelt
1986,"\""My hat's in the ring! The fight is on & I am stripped to the buff!\""",Theodore Roosevelt
1986,"At FDR's wedding, Eleanor was given away by this uncle, who was President at the time",Theodore Roosevelt
1987,"\""I trust the 1st lion he meets will do his duty"", J.P. Morgan said of this president's safari",Theodore Roosevelt
1987,New York City's Wave Hill Mansion was home at different times to Mark Twain & this police commissioner,Theodore Roosevelt
1987,"While in office, he became 1st president to ride in a car & submerge in a submarine",Theodore Roosevelt
1987,"In 1914, this U.S. president led an expedition to explore uncharted territory in Brazil",Theodore Roosevelt
1987,"\""Rough Riders\""",Theodore Roosevelt
1987,"This president's first wife & his mother both died on the same day, 2 days after the birth of daughter Alice",Theodore Roosevelt
1987,"After the deaths of his wife & mother, this ""Dude from N.Y."" worked on ranches in North Dakota",Theodore Roosevelt
1988,The only national park named for a president is named for him,Theodore Roosevelt
1988,"President profiled in ""Mornings on Horseback\""",Theodore Roosevelt
1988,"He was blinded in 1 eye as a result of a 1904 boxing match with a white house aide, but kept it secret",Theodore Roosevelt
1988,Kodokan judo was introduced to the U.S. by this President who studied it,Theodore Roosevelt
1988,"Thrust into presidency at age 42, he was the youngest ever to serve",Theodore Roosevelt
1988,"As NYC police commissioner, he had a ""bully time"" cracking down on graft in the department",Theodore Roosevelt
1989,"This ""bully"" president wasn't born under the sign of Taurus; he was a Scorpio",Theodore Roosevelt
1989,"He was the 1st president to ride in an electric automobile; it may have been a ""rough ride\""",Theodore Roosevelt
1989,south America's 500-mile-long Rio Teodoro is named for this president who explored it,Theodore Roosevelt
1989,"Geronimo rode in this president's 1905 inaugural parade, & so did the Rough Riders",Theodore Roosevelt
1989,"You can visit his home, Sagamore Hill, in Oyster Bay, Long Island",Theodore Roosevelt
1989,"\""The Square Deal\""",Theodore Roosevelt
1989,"He was known as ""The Great White Chief"" & ""The Hero of San Juan Hill\""",Theodore Roosevelt
1989,"This president, born just off Broadway, was the subject of the Broadway musical ""Teddy & Alice\""",Theodore Roosevelt
1990,"North Dakota's only national park, it's also the only one named for a U.S. President",Theodore Roosevelt
1990,"This conservationist created 5 new national parks, including Mesa Verde & Crater Lake",Theodore Roosevelt
1990,"\""Trust Buster"" & ""Four Eyes\""",Theodore Roosevelt
1990,"This president's daughter Alice married future Speaker of the House N. Longworth on Feb. 17, 1906",Theodore Roosevelt
