year,answer,question
1984,Replaced Adams in the presidency & the Indian on the nickel,Thomas Jefferson
1986,"He hated & feared doctors so much, this tall redhead endured a permanent wrist deformity",Thomas Jefferson
1987,"April 13, 1743 - July 4, 1826",Thomas Jefferson
1987,"Probably the only president who knew Greek, Latin, French, Spanish, Italian & Anglo-Saxon",Thomas Jefferson
1987,"Following a precedent set by Washington, he was the 2nd President to choose not to run for a 3rd term",Thomas Jefferson
1987,"\""Notes on the State of Virginia\""",Thomas Jefferson
1987,He entered the College of William & Mary in 1760 at age 16 & graduated 2 years later,Thomas Jefferson
1987,"\""I have sworn upon the altar of God, eternal hostility against every form of tyranny over the mind of man\""",Thomas Jefferson
1987,He taught surveying to Meriwether Lewis & later sent him on his way,Thomas Jefferson
1987,"This memorialized president's birthday, April 13, was a legal holiday in Virginia from 1943 to 1967",Thomas Jefferson
1987,"1st administrator of the U.S. Patent System, he never took out a patent for any of his inventions",Thomas Jefferson
1987,"Our 1st, he resigned because he felt the President was favoring his arch-rival, Hamilton",Thomas Jefferson
1988,"Greatly interested in agriculture, this Virginia president once invented a plow",Thomas Jefferson
1988,"Founding father who was called ""Father of the Declaration of Independence\""",Thomas Jefferson
1988,"While minister to France in 1787, he thoroughly investigated the wine business",Thomas Jefferson
1988,"A memorial was dedicated to this president on April 13, 1943, the 200th anniversary of his birth",Thomas Jefferson
1988,He was the only incumbent vice president to defeat a president in a presidential election,Thomas Jefferson
1989,The first secretary of state to become president,Thomas Jefferson
1989,In 1804 justice Samuel Chase was impeached for statements made against this president's administration,Thomas Jefferson
1989,"When the Library of Congress bought this president's private library, it doubled its collection",Thomas Jefferson
1990,"Chronologically, the 1st of the 8 presidents whose last name ends in ""son\""",Thomas Jefferson
1990,"Highest price paid for any bottle of wine was $157,500 for a 1787 Chateau Lafite bearing his initials, T.J.",Thomas Jefferson
1990,"\""Father of the University of Virginia\""",Thomas Jefferson
1990,In 1801 he tied Aaron Burr in electoral votes but the House of Representatives elected him our 3rd president,Thomas Jefferson
1991,The first president to serve 8 full years,Thomas Jefferson
1992,"His Washington, D.C. memorial was dedicated April 13, 1943, the 200th anniversary of his birth",Thomas Jefferson
1992,"In 1791 he wrote that ""Science is my passion, and politics, my duty\""",Thomas Jefferson
1993,Palladio's architecture was a major influence on his design for Monticello,Thomas Jefferson
1993,The first U.S. president we know was a violinist,Thomas Jefferson
1994,"The ""Philosopher of Democracy\""",Thomas Jefferson
1995,"Begun in 1785, his capitol building in Richmond was based on a Roman temple in France",Thomas Jefferson
1995,"During his administration, the slave trade was abolished & the Louisiana Territory was purchased",Thomas Jefferson
1995,"During the last years of the revolution, he worked on his ""Notes on the State of Virginia\""",Thomas Jefferson
1995,Nick Nolte visited colonial Williamsburg & Monticello to research this historical role,Thomas Jefferson
1996,In 1804 this U.S. president hired George Hunter to explore the Red River,Thomas Jefferson
1996,"Our fifth Secretary of State; his Secretary of State, James Madison, became president, too",Thomas Jefferson
1996,"He called his beautiful hilltop estate Monticello, which is Italian for ""little mountain\""",Thomas Jefferson
1997,In 1801 he ordered a blockade of Tripoli after that pirate state declared war on the U.S.,Thomas Jefferson
1997,"He not only founded the University of Virginia, he also chose its first professors",Thomas Jefferson
1997,"Before leading his famous expedition, Meriwether Lewis was this President's private secretary",Thomas Jefferson
1997,"Our third president, for 4 years he had a Burr in his side",Thomas Jefferson
1997,His last will & testament left his Virginia estate Monticello to his daughter Martha,Thomas Jefferson
1997,"A revolving book stand he adapted may be seen at his home, Monticello",Thomas Jefferson
1997,"In 1774 this Virginian wrote the pamphlet ""A Summary View of the Rights of British America\""",Thomas Jefferson
1997,"In 1815 Congress purchased this ex-president's 6,000-book library for the Library of Congress",Thomas Jefferson
1997,"While in the VA. legislature, this 3rd president introduced his religious freedom statute",Thomas Jefferson
1997,"Monticello, in Virginia",Thomas Jefferson
1997,"The 1853 novel ""Clotel, or The President's Daughter"" alleges that this man had an affair with a slave",Thomas Jefferson
1997,This third U.S. president was the third president of the American Philosophical Society,Thomas Jefferson
1998,This president's memorial with a 19-foot bronze statue was dedicated in Washington in 1943,Thomas Jefferson
1998,"When ratified in 1791, the Bill of Rights was proclaimed to be in full force by this secretary of state",Thomas Jefferson
1998,"On July 4, 1826 this former president died at age 83 after asking, ""Is it the fourth?\""",Thomas Jefferson
1998,"He authored ""Notes on the State of Virginia\""",Thomas Jefferson
1998,"The Louisiana Purchase, made during his term, doubled the size of the U.S.",Thomas Jefferson
1998,"This president's 1787 bottle of Chateau Lafite wine sold in 1985 for over $131,000",Thomas Jefferson
1998,"In a 1995 biographical epic, Nick Nolte played this future president ""In Paris\""",Thomas Jefferson
1998,President credited with inventing the swivel chair,Thomas Jefferson
1999,"\""The Father of the University of Virginia\""",Thomas Jefferson
1999,"\""Author of the Declaration of American Independence...\""",Thomas Jefferson
1999,"The ""Sage of Monticello\""",Thomas Jefferson
1999,"\""You and I ought not to die before we have explained ourselves to each other"", Adams wrote him years before July 4, 1826",Thomas Jefferson
1999,"\""The Scribe of the Revolution\""",Thomas Jefferson
1999,In 1804 Justice Samuel Chase was impeached for comments critical of this president's administration,Thomas Jefferson
1999,He was the first person who could put U.S. Secretary of State on his resume,Thomas Jefferson
1999,"William Wells Brown's ""Clotel; or, The President's Daughter"" is about the kids this man allegedly had with a slave",Thomas Jefferson
1999,He was the first Virginian to serve as vice president,Thomas Jefferson
1999,"Robert Morris' book ""Select Architecture"" inspired this man's plan for Monticello",Thomas Jefferson
1999,This president disapproved of slavery but approved of his slave Sally Hemings,Thomas Jefferson
2000,"The ""Father of the Declaration of Independence\""",Thomas Jefferson
2000,"In 1801 this onetime VP compiled ""A Manual of Parliamentary Practice"" still used in the U.S. Senate",Thomas Jefferson
2000,1995: Nick Nolte,Thomas Jefferson
2000,"Oddly, his tombstone mentions nothing about him being president",Thomas Jefferson
2000,He's the Virginian who wrote the Virginia Statute for Religious Freedom (he's better-known for a declaration),Thomas Jefferson
2000,Contributors to the age from America included Ben Franklin & this third president,Thomas Jefferson
2000,U.S. President: 1801-1809,Thomas Jefferson
2000,Peas were a favorite of this president who grew them at Monticello,Thomas Jefferson
2001,"In 1802, after he'd been in office for a year, the first article on his involvement with Sally Hemings was published",Thomas Jefferson
2001,"He not only designed the buildings for the University of Virginia, he also chose the faculty & curriculum",Thomas Jefferson
2001,"In 1995 Thandie Newton was sexy slave Sally & Nick Nolte was this U.S. statesman ""in Paris\""",Thomas Jefferson
2001,In 1801: Henry Dearborn,Thomas Jefferson
2001,"William and Mary, 1762",Thomas Jefferson
2001,"In his 1805 inaugural, he said, ""I know that the acquisition of Louisiana has been disapproved by some\""",Thomas Jefferson
2001,He was the first president who had been a governor,Thomas Jefferson
2001,"He lost the presidency by a 71-68 electoral vote count, so he settled for the VP slot in 1796",Thomas Jefferson
2001,"In 1826, on his deathbed, he said, ""This is the 4th?\""",Thomas Jefferson
2002,"This president was nicknamed ""The Pen of the American Revolution\""",Thomas Jefferson
2002,He designed the writing box on which he wrote the Declaration of Independence,Thomas Jefferson
2002,The presidency of this man who's on a U.S. bill is marked by the Tripolitan War & a large land purchase,Thomas Jefferson
2002,"His first inaugural address, in 1801, was also the first delivered in Washington, D.C.",Thomas Jefferson
2002,"He was the only vice president to be elected to, & serve, 2 full terms as president",Thomas Jefferson
2003,"In 1786, 10 years after writing the Declaration of Independence, his writing hand became crippled after an accident",Thomas Jefferson
2003,"William Safire's ""Scandalmonger"" exposes James Callender, who gossiped about this president & Sally Hemings",Thomas Jefferson
2003,"Confederate general George Randolph, a grandson of this president, was born & buried at Monticello",Thomas Jefferson
2003,This U.S. president's pet grizzly bears were a present from Lewis & Clark,Thomas Jefferson
2003,Aaron Burr,Thomas Jefferson
2003,The Graff House on 7th & Market is where he resided while drafting the Declaration of Independence,Thomas Jefferson
2003,The bronze statue of him in his D.C. memorial depicts him wearing a coat given to him by his friend Gen. Kosciuszko,Thomas Jefferson
2003,His circular Presidential memorial stands among the cherry trees that line the Tidal Basin in D.C.,Thomas Jefferson
2004,"The Time Almanac lists only the children from his 1772 marriage, but says there's DNA evidence of more",Thomas Jefferson
2004,He sent James Monroe to Paris hoping only to purchase New Orleans & West Florida,Thomas Jefferson
2004,In 1805 an agricultural society gave this U.S. president a gold medal for one of his inventions,Thomas Jefferson
