year,answer,question
1988,"Complaining of this president's English, H.L. Mencken called it ""Gamalielese\""",Warren G. Harding
1988,"He died in San Francisco on August 2, 1923 & was buried in Marion, Ohio",Warren G. Harding
1990,"First Republican president after Taft, he appointed Taft chief justice",Warren G. Harding
1996,His wife Florence often consulted a Washington astrologer known as Madame Marcia,Warren G. Harding
1997,Leonard Wood lost the 1920 Republican nomination to this man who went on to win the presidency,Warren G. Harding
1997,The scandals of his presidency began in 1923 with skimming by Veterans Bureau head Charles Forbes,Warren G. Harding
1997,His middle name was Gamaliel,Warren G. Harding
1998,His administration created a tempest in a teapot--whoops!  Make that Teapot Dome,Warren G. Harding
1998,"It's out of the closet that he was in the closet with Nan Britton, a young flapper",Warren G. Harding
1999,The first radio broadcast of a presidential inaugural address was this president's in 1921 over KDKA,Warren G. Harding
1999,The scandals of his 1920s presidency included skimming by Veterans Bureau head Charles Forbes,Warren G. Harding
1999,1920: Calvin Coolidge,Warren G. Harding
1999,Maybe it was the campaign song Al Jolson wrote that got him elected U.S. president in 1920,Warren G. Harding
2000,"H.L. Mencken said this president's use of language reminded him ""of stale bean soup"" & dubbed it ""Gamalielese\""",Warren G. Harding
2000,This Ohioan was the first sitting U.S. senator elected president,Warren G. Harding
2001,"During his 1920 presidential campaign, a big payoff kept Carrie Phillips quiet about her affair with him",Warren G. Harding
2001,"This philandering U.S. pres. called his wife Florence ""The Duchess""; we wonder if she had any choice nicknames for him",Warren G. Harding
2001,"He died of a stroke on August 2, 1923, right after his wife read an article about him, ""A Calm View of a Calm Man\""",Warren G. Harding
2001,"Albert Fall, Herbert Hoover & Henry Wallace were all members of his cabinet",Warren G. Harding
2002,"After his death in 1923, it was revealed that he trysted with his mistress in the White House",Warren G. Harding
2004,In 1921 this big wheel rode to his inauguration in a Packard Twin Six convertible,Warren G. Harding
2004,William Howard Taft,Warren G. Harding
2005,"This man appointed Harry Daugherty, who'd helped him become lt. gov. of Ohio & a U.S. senator as well as president",Warren G. Harding
2006,This U.S. president was the first president for whom all women were eligible to vote,Warren G. Harding
2008,"November 2, 1865 in Corsica (now Blooming Grove), Ohio",Warren G. Harding
2009,"When this randy U.S. president died suddenly in Frisco after a trip to Alaska, rumors swirled his wife had poisoned him",Warren G. Harding
2019,"This Ohioan found the Senate ""far more to my liking than"" being pres. could be; scandal & death in office followed",Warren G. Harding
