year,answer,question
1988,"This president refused to wear a coat at his cold, windy inauguration & died a month later",William Henry Harrison
1988,The only U.S. President whose middle name was Henry,William Henry Harrison
1989,"This president died April 4, 1841 exactly one month after his inauguration",William Henry Harrison
1989,Some say this president died after a month in office because Tecumseh's brother put a curse on him,William Henry Harrison
1990,"\""Old Tippecanoe\""",William Henry Harrison
1990,Reagan was the oldest man inaugurated & he served 8 yrs.; this man was 2nd oldest & served 31 days,William Henry Harrison
1992,"His wife, Anna, bore him 10 children; that's about 1 for every 3 days he was president",William Henry Harrison
1993,He used more words in his one inaugural address than FDR used in all four of his,William Henry Harrison
1993,Some blamed his death on a Shawnee curse that was put on him at the Battle of Tippecanoe,William Henry Harrison
1996,"On Nov. 7, 1811 this territorial governor of Indiana lost 62 of his men at Tippecanoe",William Henry Harrison
1996,Clinton is the most recent William to hold the office; this man was the first,William Henry Harrison
1996,"As the first President to die in office, he was also the first to lie in state at the White House",William Henry Harrison
1997,"Martin lost his bid for a 2nd term as president to this man in the ""log cabin and hard cider"" campaign",William Henry Harrison
1997,"\""Tippecanoe\""",William Henry Harrison
1997,"This man, ""Old Tippecanoe"", was elected the Northwest Territory's delegate to Congress in 1799",William Henry Harrison
1998,WHH,William Henry Harrison
1998,"March 4, 1841- April 4, 1841",William Henry Harrison
1998,"At 8,445 words, his inaugural address was the longest -- that's a little more than 263 words per day in office",William Henry Harrison
1998,"His ailing wife Anna sent her daughter-in-law Jane with him to Washington, but he only served a month",William Henry Harrison
1999,"The ""Hero of Tippecanoe\""",William Henry Harrison
1999,"In the campaign slogan ""Tippecanoe and Tyler Too"", he's Tippecanoe",William Henry Harrison
1999,"Berkeley Plantation was the birthplace of this U.S. president whose grandson was president, too",William Henry Harrison
2000,Benjamin Harrison V,William Henry Harrison
2000,His nearly 2-hour speech in the snow included musings on the history of democracy back to Athens,William Henry Harrison
2000,Henry,William Henry Harrison
2001,Whig 1841-1841,William Henry Harrison
2001,"To some, he was ""Tippecanoe""; to others, ""Old Tip\""",William Henry Harrison
2001,He served the shortest term as president: one month,William Henry Harrison
2002,Some blamed this President's death on an Indian curse put on him because of the Battle of Tippecanoe,William Henry Harrison
2003,"Tyler figured with not much to do as vice president, he could stay at home with his sick wife; then this president died...",William Henry Harrison
2003,In 1813 this hero of Tippecanoe defeated Tecumseh at the Thames River in Canada,William Henry Harrison
2004,"\""Old Tippecanoe\""",William Henry Harrison
2004,He was our ninth president & his grandson was our twenty-third,William Henry Harrison
2005,"\""Tippecanoe and Tyler too\""",William Henry Harrison
2005,"The first Whig to be elected president, he was also the first president to die in office",William Henry Harrison
2005,"Pneumonia claimed this president's life on April 4, 1841",William Henry Harrison
2005,"His hat came up in the 1888 pres. campaign of his grandson (some said it fit, some said it was too big)",William Henry Harrison
2006,"In 1813, 2 years after defeating Tecumseh at Tippecanoe, this general fought & killed him at the Thames River",William Henry Harrison
2006,"This general defeated Chief Tecumseh at the Battle of Tippecanoe on November 7, 1811",William Henry Harrison
2007,"That March 4, 1841 inaugural address in cold drizzle took about 2 hours; mark my words, it'll be the death of him",William Henry Harrison
2007,"This military man elected president in 1840 wrote a ""Discourse on the Aborigines of the Valley of the Ohio\""",William Henry Harrison
2007,"At just more than 30 days, he served the shortest term as president",William Henry Harrison
2008,"The first man to receive a million votes for president in one election, he didn't get to enjoy the victory for long",William Henry Harrison
2008,In 1810 Tecumseh met with this general & future president about white claims to Indian land,William Henry Harrison
2008,"This aide-de-camp to ""Mad"" Anthony Wayne went on to become the first U.S. president to die in office",William Henry Harrison
2009,"Birthday: February 9, 1773; Political Views: Whig; Activities: Kickin' butt at the Battle of Tippecanoe",William Henry Harrison
2009,"On April 3, 1841, the day before he died, he said, ""I am ill, very ill, much more so than they think me\""",William Henry Harrison
2009,The country Whigged out / Stormy inauguration / He's dead in a month,William Henry Harrison
2009,John Tyler-- but not for long,William Henry Harrison
2009,"Anna, the wife of this president, got a pension equal to his yearly salary, despite his short term in 1841",William Henry Harrison
2010,In August 1812 this future president was put in charge of the Northwestern Army,William Henry Harrison
2011,WHH,William Henry Harrison
2011,"What his March 4, 1841 speech should have included: ""Sorry, I'm cutting this short.  The weather's awful & I should go inside\""",William Henry Harrison
2012,"Loved your Mar. 4, 1841 speech, despite the weather!  1 hour, 45 minutes of awesome!  Now it's clear skies for your presidency!",William Henry Harrison
2013,"In 1840 Horace Greeley began publishing ""The Log Cabin"", a weekly campaign paper in support of this Whig candidate",William Henry Harrison
2013,"He was not only the first president to die in office but also served the shortest term, a mere month",William Henry Harrison
2013,Tyler took office in April 1841 following the passing of this man,William Henry Harrison
2015,In 1836 Van Buren won the presidency over this Whig but lost to him in the 1840 rematch,William Henry Harrison
2015,...to die in office,William Henry Harrison
2016,"In 1811 under this general, the U.S. Army defeated an Indian army at the Battle of Tippecanoe",William Henry Harrison
2017,"What he said in his inaugural: ""We admit of no govt. by divine right""; what he should have said: ""I need a heavier coat!\""",William Henry Harrison
2018,"This president is on Twitter again--""People are saying I'm ill. Tippecanoe is fine--no cold! Best month ever, that I can tell you\""",William Henry Harrison
