year,answer,question
1984,Portly president who set precedent by throwing out season's 1st ball,William Howard Taft
1987,"\""Our Chief Magistrate & His Powers\""",William Howard Taft
1988,"While he was chief justice, he once said, ""In my present life I don't remember that I ever was president\""",William Howard Taft
1988,"At least one song from this candidate's 1908 & 1912 campaigns referred to him as ""Big Bill\""",William Howard Taft
1988,"In 1908 this former big man on campus, Yale's that is, became a big man in the White House",William Howard Taft
1989,In 1909 he ordered the White House stables converted into a garage,William Howard Taft
1989,"He was known as ""Big Bill\""",William Howard Taft
1990,He was so heavy that a huge bathtub had to be installed in the White House for him in 1909,William Howard Taft
1990,He was the first president buried at Arlington Nat'l Cemetery; John Kennedy was second,William Howard Taft
1990,"On June 24, 1912, an executive order by this president established the flag's design specifications",William Howard Taft
1993,Teddy Roosevelt sponsored the candidacy of this man in 1908 & ran against him in 1912,William Howard Taft
1996,"This president's father, Alphonso, was Grant's attorney general",William Howard Taft
1997,"From his presidency to 1929, a year before his death, he lost about 90 pounds",William Howard Taft
1997,He was the first & only president to administer the oath of office to a successor,William Howard Taft
1997,He was the 27th president & the 10th Supreme Court Chief Justice,William Howard Taft
1998,This Ohioan was the last president to sport a mustache while in office,William Howard Taft
1998,In 1921 this man seen here realized his lifelong dream of becoming U.S. Chief Justice,William Howard Taft
1999,"This ""Big Bill"" bellied up to the White House buffet 80 years before Clinton",William Howard Taft
1999,"Teddy Roosevelt quipped that this successor ""meant well but meant well feebly\""",William Howard Taft
1999,This hefty president awarded the infant Lloyd Bridges a trophy for being America's fattest baby,William Howard Taft
1999,The U.S. Chamber of Commerce was founded in 1912 at the suggestion of this president,William Howard Taft
2000,1921-1930,William Howard Taft
2001,He went on to preside over the American Bar Association & over the Supreme Court of the U.S.,William Howard Taft
2001,"Later chief justice, this man once got stuck in a White House bathtub & couldn't get out",William Howard Taft
2001,"In March 1930, a month after he retired from the Supreme Court, his funeral was one of the first heard on radio",William Howard Taft
2001,Charles Evans Hughes was appointed to the court by this man whom he later succeeded as Chief Justice,William Howard Taft
2001,He was so big that a bathtub large enough to hold 4 men was installed in the White House for him,William Howard Taft
2001,"At his second inauguration, Coolidge took the oath of office from this former president, a first",William Howard Taft
2003,Edward White was nominated as chief justice by this president who later replaced him on the court,William Howard Taft
2003,Yale can't find the underpants removed from this future U.S. Pres. & Chief Justice during a Freshman rush,William Howard Taft
2003,The cherry trees that line the Tidal Basin in our nation's capital were donated by Japan in 1912 when he was President,William Howard Taft
2004,In February 1930 illness forced him to resign as U.S. Chief Justice; he died a month later,William Howard Taft
2005,"His mother, Louise, said, ""I do not want my son to be president... his is a judicial mind and he loves the law\""",William Howard Taft
2005,"He was the ""I"" on a 1908 button reading ""U-N-I-Ted"", (you & I, Teddy Roosevelt)",William Howard Taft
2006,WHT,William Howard Taft
2009,He was the last sitting president to run for re-election & finish third in the Electoral College,William Howard Taft
2009,The first of 2 presidents buried at Arlington National Cemetery,William Howard Taft
2011,"This president's son & grandson were Ohio senators; a great-grandson, Ohio's governor",William Howard Taft
2011,WHT,William Howard Taft
2012,"On April 14, 1910 he became the first president to throw the ceremonial first pitch to open a major league season",William Howard Taft
2014,"In between being president & chief justice, he taught constitutional law at Yale",William Howard Taft
2015,WHT,William Howard Taft
2018,Howard,William Howard Taft
