year,answer,question
1985,"Probably our most scholarly president, he was only one to earn a Ph.D.",Woodrow Wilson
1985,"In 1908, 5 years before getting the job, he wrote a book titled ""The President of the United States\""",Woodrow Wilson
1986,"This 20th century president is the only president buried in Washington, D.C. proper",Woodrow Wilson
1987,Re-establishing a free Poland was 1 of his 14 Points of 1918,Woodrow Wilson
1987,"Despite his 1916 slogan, he later admitted, ""I can't keep the country out of war\""",Woodrow Wilson
1987,His mother's name was Jessie Janet Woodrow,Woodrow Wilson
1987,"After coaching football at Connecticut's Wesleyan University, he went on to be President of Princeton",Woodrow Wilson
1987,"The United States never ratified the Versailles treaty, though this President played a key role in drafting it",Woodrow Wilson
1988,"President who was known as the ""Schoolmaster in Politics\""",Woodrow Wilson
1988,"The last of the eight presidents born in Virginia, though he was elected from New Jersey",Woodrow Wilson
1988,In 1913 he became the 1st President since John Quincy Adams to address Congress,Woodrow Wilson
1988,"Prone to nervous breakdown, this fourth 20th C. pres. was subject of book-length psychological study",Woodrow Wilson
1989,"When he died in 1924, he became our only president buried in Washington, D.C.",Woodrow Wilson
1990,"William Jennings Bryan was referring to him when he said, ""We have a president who has kept .... us out of war.\""",Woodrow Wilson
1990,"While attending college, this president served as an editor of the ""Princetonian\""",Woodrow Wilson
1990,"His second wife, Edith, is the only First Lady buried in Washington, D.C.",Woodrow Wilson
1992,"On January 8, 1918, he outlined his ""Fourteen Points"" to the U.S. Congress",Woodrow Wilson
1993,Between 1913 & 1918 2 of his daughters & 1 niece were wed at the White House,Woodrow Wilson
1994,"On July 12, 1920 this Democratic president officially dedicated the Panama Canal",Woodrow Wilson
1994,In 1902 he became the first layman chosen as president of Princeton,Woodrow Wilson
1995,U.S. president who was a founder of the League of Nations,Woodrow Wilson
1996,Edith Bolling Galt brought this widower out of his lethargy,Woodrow Wilson
1996,"While attending Princeton in the 1870s, he was editor of The Princetonian",Woodrow Wilson
1996,In September 1919 this president collapsed while out promoting the Treaty of Versailles,Woodrow Wilson
1996,"This president collapsed September 25, 1919 & one week later suffered a stroke",Woodrow Wilson
1997,"Graduating from Princeton in 1879, he was the first president to earn a Ph.D.",Woodrow Wilson
1997,"While governor of New Jersey, he enacted the state's first workmen's compensation law",Woodrow Wilson
1997,"In 1913 this man featured on the old $100,000 bill signed the bill creating the Federal Reserve System",Woodrow Wilson
1997,"For his work in establishing the League of Nations, he was awarded the 1919 Nobel Peace Prize",Woodrow Wilson
1997,In 1920 this president signed legislation returning the railroads to private ownership,Woodrow Wilson
1997,The committee that drafted the league's covenant included this U.S. president,Woodrow Wilson
1997,"In his 1913 inaugural address he said, ""The firm basis of government is justice, not pity\""",Woodrow Wilson
1998,In November 1910 he was elected governor of New Jersey; 2 years later he was elected president,Woodrow Wilson
1998,SIR LOWDOWN WOO,Woodrow Wilson
1998,"From 1890 to 1902, he served as professor of jurisprudence & political economy at Princeton",Woodrow Wilson
1999,He brought the Treaty of Versailles back to the U.S. where the Senate rejected it,Woodrow Wilson
1999,"In 1917 he called for a declaration of war against Germany saying that ""The world must be made safe for democracy\""",Woodrow Wilson
1999,"WWI's ""The Professor\""",Woodrow Wilson
1999,"For his work in founding the League of Nations, he received the 1919 Nobel Peace Prize",Woodrow Wilson
2000,"In January 1918 he set forth his ""Fourteen Points"" on which he thought lasting peace could be made",Woodrow Wilson
2000,"By last name, he's alphabetically last on a list of U.S. presidents",Woodrow Wilson
2000,"Of WWI, he said, ""Our own fortunes as a nation are involved whether we would have it so or not\""",Woodrow Wilson
2000,In 1915 he laid the cornerstone of Arlington National Cemetery's Memorial Amphitheater,Woodrow Wilson
2000,Degrees from Princeton & Johns Hopkins aren't the only attractive features of this man seen here:,Woodrow Wilson
2001,"Because the Bull Moose Party split the Republican vote, this Democrat won the White House in 1912",Woodrow Wilson
2001,"The first to hold regular press conferences, he began them 7 years before Helen Thomas was born",Woodrow Wilson
2001,In 1916: Newton Diehl Baker,Woodrow Wilson
2001,Jessie Woodrow,Woodrow Wilson
2001,Democratic 1913-1921,Woodrow Wilson
2001,1856-1924,Woodrow Wilson
2002,"On January 8, 1918 he told Congress, ""A general association of nations must be formed\""",Woodrow Wilson
2002,"December 28, 1856 in Staunton, Virginia",Woodrow Wilson
2002,"Born in 1856, his 2 names mean ""Dweller of a Place Near the Woods"" & ""Son of William\""",Woodrow Wilson
2002,"Speaking to WWI troops in 1919, this man became the first U.S. president to make a radio broadcast",Woodrow Wilson
2002,"Although his 1916 campaign slogan was ""He kept us out of war"", the U.S. entered World War I the following year",Woodrow Wilson
2002,"With Taft & Teddy Roosevelt splitting the Republican vote, this Democrat easily won the 1912 election",Woodrow Wilson
2003,"The President during WWI, his last words to his wife were ""Edith, I'm a broken machine, but I'm ready\""",Woodrow Wilson
2003,His wife is often called the first woman president because many believed she called all the shots after his stroke,Woodrow Wilson
2003,"One of this man's ""14 Points"" led to the establishment of the League of Nations",Woodrow Wilson
2004,"Discontinued in 1969, the $100,000 bill featured the portrait of this Democratic president",Woodrow Wilson
2004,"The only president buried in Washington, D.C., his tomb was dedicated in 1956, the centennial of his birth",Woodrow Wilson
2004,"Edith Galt, whom he married in 1915, was related to Pocahontas",Woodrow Wilson
2004,"Alphabetically by last name, he's listed last",Woodrow Wilson
2005,"This president arranged the first film showing in the White House when he had ""The Birth of a Nation"" screened there",Woodrow Wilson
2005,Princeton (class of 1879),Woodrow Wilson
2007,In 1902 this Princeton professor became the first layman president of the school; he'd later go into politics,Woodrow Wilson
2007,"Though he couldn't read until after he was 10, he became the only U.S. President to earn a doctoral degree",Woodrow Wilson
2007,"...of U.S. presidents, by last name",Woodrow Wilson
2007,"This president's first wife, Ellen, replaced Edith Roosevelt's ""Colonial"" garden with a rose garden",Woodrow Wilson
2008,Thomas Marshall,Woodrow Wilson
2008,1912: Theodore Roosevelt,Woodrow Wilson
2008,1917: He asks the U.S. Congress for a declaration of war on Germany,Woodrow Wilson
2008,"Born in Virginia in 1856 & elected in 1912, he was the last Virginian to become president",Woodrow Wilson
2009,His reputed affair with Mrs. Mary Peck threatened to quash his presidential hopes in 1912,Woodrow Wilson
2009,"At the Washington, D.C. National Cathedral",Woodrow Wilson
2011,"Setting sail for the Paris Peace Conference in December 1918, he became the first sitting president to cross the Atlantic",Woodrow Wilson
2011,His second inauguration marked the first time that women officially participated in the inaugural parade,Woodrow Wilson
2012,"With his opponents dividing the vote, this democratic challenger was elected",Woodrow Wilson
2012,"From 1913 to 1918 Chattanooga lawyer William McAdoo, this man's son-in-law, was also his Treasury secretary",Woodrow Wilson
2015,"William Jennings Bryan, Thomas R. Marshall",Woodrow Wilson
2015,"...to cross the Atlantic while in office, he did it on a big diplomatic trip to France",Woodrow Wilson
2016,The Virgin Islands,Woodrow Wilson
2016,"The former Edith Bolling, a First Lady",Woodrow Wilson
2018,"This man's wife prevented him from resigning despite a stroke, leaving veep Thomas Marshall to only dream",Woodrow Wilson
